;Test;DeltaOz-O1O2;ThetaOz-O1O2;AlphaOz-O1O2;BetaOz-O1O2;DeltaOz-PO;ThetaOz-PO;AlphaOz-PO;BetaOz-PO;DeltaOz-POL;ThetaOz-POL;AlphaOz-POL;BetaOz-POL;DeltaOz-POR;ThetaOz-POR;AlphaOz-POR;BetaOz-POR;DeltaO1O2-PO;ThetaO1O2-PO;AlphaO1O2-PO;BetaO1O2-PO;DeltaO1O2-POL;ThetaO1O2-POL;AlphaO1O2-POL;BetaO1O2-POL;DeltaO1O2-POR;ThetaO1O2-POR;AlphaO1O2-POR;BetaO1O2-POR;DeltaPO-POL;ThetaPO-POL;AlphaPO-POL;BetaPO-POL;DeltaPO-POR;ThetaPO-POR;AlphaPO-POR;BetaPO-POR;DeltaPOL-POR;ThetaPOL-POR;AlphaPOL-POR;BetaPOL-POR;SCORE_1;SCORE_2;SCORE_3;SCORE_4;SCORE_5;SCORE_6;SCORE_7;SCORE_8
S3;Reposo_EEG _AO;23.69467526;29.63182048;39.15446041;132.2145235;10.8081406;18.2138763;27.87688316;101.7784017;20.63360357;27.0948179;33.61571811;117.0255697;21.13716517;28.87141358;34.96242521;118.3066863;23.06945989;29.3861942;40.79380424;147.6300032;34.56006527;34.09306798;42.26517466;144.5985513;34.26359774;33.81897311;38.639338;134.9104586;26.38197466;32.5004848;44.37015172;146.051162;25.41113091;30.52186786;40.36244918;139.9383021;33.00635333;32.23825555;33.94631243;107.8008636;3.95098;0.0780346;2.32417;-0.319273;2.46066;3.74452;-5.3117;-2.93748
S5;Reposo_EEG _AO;17.56332762;25.64578827;43.60733938;139.9324415;13.25828892;14.34766066;32.1013539;106.3643776;16.32718867;22.93205832;39.33164519;120.220011;16.61161143;22.08458777;37.64271561;111.3123613;34.87616478;28.58212577;43.07107393;142.9086819;36.3140802;30.32959311;43.72176665;130.1509242;36.55945086;30.62259264;43.08121669;130.6448204;36.34368847;29.53218487;41.42564287;131.8189223;36.43048939;30.52275581;42.88401979;135.2246586;35.38234081;24.94604995;35.20499861;89.38610298;-2.15861;0.0497079;3.73191;1.09643;-3.81125;-3.48096;4.26727;-0.27689
S6;Reposo_EEG _AO;25.40484374;29.97990069;44.33833357;132.3773915;13.19259297;16.40654217;38.11793023;94.37898524;16.99937032;26.08355486;40.92977701;102.7056462;23.98844877;25.95431395;42.26045448;112.8031068;25.33264861;29.5840293;46.18233322;144.779974;28.92722343;34.51864192;45.26737285;135.3138552;33.47559446;34.74469029;45.82980603;140.3223476;30.78702744;31.63445292;46.57971206;151.6511236;27.3888479;31.04372762;43.57237889;134.3889601;25.57626306;29.30347075;39.30548542;106.7601598;6.75762;0.117143;5.77769;8.15261;1.25688;1.34871;-3.24908;-0.959491
S10;Reposo_EEG _AO;26.31624508;28.85982902;42.81216703;135.3326754;11.51814885;17.56377773;33.94846919;108.6380386;22.13420727;24.50298705;34.70486707;124.454031;24.40104947;29.51246152;38.47355938;123.6053553;28.58419198;32.2660413;46.4816522;160.3450284;33.80367013;35.1990004;42.51924234;152.9081904;38.1990946;37.36931024;44.65371397;150.9100867;28.62485485;33.11106232;42.89173012;150.6567818;28.89761391;30.0649101;42.20399764;143.77593;30.85388562;31.07810708;33.47773368;116.7505259;6.91545;7.09443;7.42238;5.12372;6.32865;3.51914;-2.89523;-0.946423
S11;Reposo_EEG _AO;28.10895641;32.6188597;44.1490967;142.1413419;14.67214225;18.80855095;34.65933746;102.6274499;23.67342208;28.43931736;38.36074473;118.7019917;22.13461429;29.28670645;39.70245813;122.7428264;29.91770097;31.0102459;44.86319338;148.2309694;36.17162868;36.61335298;44.89767207;142.7091401;32.09931087;33.75528012;44.19231213;140.8007875;31.76301243;33.07031617;43.19502679;140.7008012;31.61595328;31.31973535;44.23003533;140.7669769;28.80444594;30.59626849;36.31088403;108.6679173;8.43667;4.32168;7.22234;5.89424;3.17568;2.44161;-0.443117;0.967072
S13;Reposo_EEG _AO;26.74849383;27.23532888;38.62342752;134.840914;17.37067942;15.45928022;23.62200035;91.38633963;24.86715994;22.04468443;31.76802778;116.9176113;24.55866154;26.28015379;32.81072544;124.6082525;33.71739519;30.79385084;41.432908;143.0229021;36.62035201;35.62558599;42.83064061;147.0946965;37.30924823;35.01190207;42.03851949;150.8019258;34.79313923;32.23080543;40.68348895;142.4914782;33.82248499;28.93078816;39.90248206;137.6080975;33.7205596;28.57752589;32.85994732;123.5712481;3.31106;5.14768;1.27275;-0.671151;2.75739;2.37031;1.39176;-3.28947
S14;Reposo_EEG _AO;27.87553022;24.85037107;39.75460275;113.571508;16.14271854;13.27076158;27.46860225;86.63774956;28.17636462;20.80354864;32.15891787;102.2321833;28.40413913;24.4302421;36.99374891;101.1536229;22.8973928;26.71466613;40.85335707;148.0105559;31.35105635;32.22249325;42.29723508;133.8246576;28.65270828;32.43729098;40.53634111;136.9688751;28.75380952;33.05742692;43.32854063;139.2040683;26.10782018;30.44297321;38.69593441;135.6832649;28.6196818;30.49714257;33.04338242;97.62489445;2.16761;-4.28256;-3.18165;-1.5585;-1.80321;0.79119;-3.60472;-4.45364
S15;Reposo_EEG _AO;25.87400029;28.36541108;43.18219808;141.8774484;11.78261419;12.04991234;28.08505871;102.1557258;19.4093015;24.13289246;36.17389388;123.7001094;19.79364101;21.23111677;32.18126203;107.8492429;27.33292799;26.42099942;41.37205273;147.4919317;34.37650682;34.47283461;44.5769347;149.708976;31.95145014;33.16550303;40.65005847;128.8249038;30.89960934;28.29865727;42.20488935;143.0717213;30.24493796;30.55636483;42.33543223;134.7938469;28.56533976;27.6354131;34.44229441;98.05592407;-0.427418;-0.361232;2.36472;0.0571772;0.283797;-2.24965;-2.0786;-3.35397
S16;Reposo_EEG _AO;27.57290487;27.60912033;37.51818857;137.0557952;12.13729795;16.89704719;25.06187942;106.0378679;19.14257407;26.09593389;32.539643;127.0543783;27.64812498;27.14283226;34.52626125;110.6219852;20.2118446;30.05988922;40.83913027;151.3035121;25.81741901;34.90531702;42.13304206;153.0135823;29.60517633;33.58020747;42.4860703;138.638787;30.89095862;32.90212187;42.48612858;149.4485486;19.84050979;29.52383093;40.40688419;149.148151;23.21110977;31.17187128;36.65568003;122.3923368;3.88317;-2.06327;2.55408;1.4166;5.77551;3.68813;-6.32318;-3.92405
S18;Reposo_EEG _AO;29.34807125;32.8255227;41.94390311;127.107107;17.76957884;17.54718224;28.66756465;82.31741869;27.17340996;29.28933274;36.5386899;114.3693074;27.07532143;29.31858109;33.23392357;112.1223672;28.96592574;28.86305522;42.45323596;141.6732338;35.54125952;36.40479912;44.14712259;150.5770834;33.70033622;34.76456599;39.38536783;141.6199522;31.61771563;30.4459986;41.20491287;139.3619256;29.57371615;29.13091036;39.36734825;134.995986;30.17370384;29.8517592;30.19163934;116.9509378;7.90365;2.99952;1.25613;-0.845404;1.56489;1.18803;-2.22748;-2.6774
