;Test;DeltaOz-O1O2;ThetaOz-O1O2;AlphaOz-O1O2;BetaOz-O1O2;DeltaOz-PO;ThetaOz-PO;AlphaOz-PO;BetaOz-PO;DeltaOz-POL;ThetaOz-POL;AlphaOz-POL;BetaOz-POL;DeltaOz-POR;ThetaOz-POR;AlphaOz-POR;BetaOz-POR;DeltaO1O2-PO;ThetaO1O2-PO;AlphaO1O2-PO;BetaO1O2-PO;DeltaO1O2-POL;ThetaO1O2-POL;AlphaO1O2-POL;BetaO1O2-POL;DeltaO1O2-POR;ThetaO1O2-POR;AlphaO1O2-POR;BetaO1O2-POR;DeltaPO-POL;ThetaPO-POL;AlphaPO-POL;BetaPO-POL;DeltaPO-POR;ThetaPO-POR;AlphaPO-POR;BetaPO-POR;DeltaPOL-POR;ThetaPOL-POR;AlphaPOL-POR;BetaPOL-POR
S37;Reposo_EEG;30.81004674240653;33.81597561939959;43.07608203803514;141.39323843891088;21.891042086286646;27.02952192621069;35.227639022690965;110.99614036823705;29.655061717264047;28.698983097189206;37.67386150933294;117.1892465314109;21.6501527192594;25.649744059184933;31.90840998454736;104.38601342449442;36.361185560202586;37.162197624994675;47.05619925719931;155.85575000639824;33.31786407953628;32.96925365276892;42.24483461237812;133.8608664723563;33.155178226705345;31.685568943770868;39.919746997236444;124.59170146250088;28.417331558532666;30.63870782969409;39.43266075229076;123.80304725788173;35.49524234291056;33.852781890907806;43.65966368503792;133.0755900706593;21.581017804199885;20.068822285970732;27.94071552108087;76.23725621901906
S2;complex_image_both;30.954336217678527;33.46568559884936;37.93629659786243;132.63156327132359;9.289668409803912;16.799649230808498;21.227190826916804;90.88213624867112;28.874512672673713;32.258666830692356;35.99225795082072;130.80921663251343;28.599730959069284;31.62655154863424;34.28800804978356;109.40254464223952;25.272933129217602;30.93571594532006;42.88248568664832;154.586679439958;38.65879950150521;38.94575513647206;47.90729545735202;159.93869049420815;37.52342937043741;37.938588631991436;46.21066934755853;152.79232018287524;27.358909684790788;31.81351197205585;43.560778131795374;150.94033710063306;26.173357236474416;30.69939008219305;41.31332980729036;145.2431871743036;36.18249358977576;36.15428504731992;42.20222345136344;129.68823857251476
S3;complex_image_both;31.664134174784973;32.07156939919297;32.920140624049374;79.19330645509103;13.711709472017802;13.534863643031654;16.231266691246482;24.506638119053296;29.604605856401108;28.89165783689507;28.34772688016896;64.06525301959714;29.21364107368514;28.68440978773622;29.825316257197535;59.06383966031365;29.556300390769973;29.34974042008985;41.934986078742185;132.4917624087863;38.81036869765819;37.81538601606073;46.54693519213102;156.3634222804954;37.80936328266926;37.534375128478565;45.54303702607059;149.88337239580315;31.167879468390623;31.306656806009418;42.9897865006222;135.24378794293688;30.545971575831423;30.915468987423235;41.19994497509415;137.69688426080268;36.441549490086835;34.88902787955058;40.34935782890007;128.2919212143807
S5;complex_image_both;22.198091585320544;28.041335734105935;39.699469557116025;111.39859464367103;6.459886454458699;10.892552070427827;24.973527571099176;60.91513719740817;20.475694201677243;25.46891901536268;35.28355378415509;93.61079511850244;22.369228778472806;24.486926816537974;35.580833177640386;91.76111429925538;19.599915662150575;24.919509538293788;40.78610722335283;130.32191073205257;24.24485505615595;29.608516468781836;41.912789605418666;130.54961514717158;26.854720718708805;33.4287260777498;43.13539074603026;132.73009276675037;26.98952824379318;27.071071662128304;40.71495173823099;134.34337489116726;26.146992550534385;29.418325900612217;41.427122306325614;134.09297215317838;26.706685078245542;27.5266893325089;35.151407843084186;100.6762745757089
S7;complex_image_both;33.23544172472573;32.75057999425494;37.54747493448214;120.10360226793978;8.203807869334627;13.204309283325493;24.32501076225596;74.28105774055584;29.964038735060978;29.181586444429207;33.477723198116266;105.17501894569881;27.631058696421043;28.794513684419;34.752538004970276;109.19610325917081;19.673642324586663;26.837049035810058;43.38940957185313;146.22800394152276;37.53455472714569;37.6642014322654;46.21493586452394;152.81780999874638;34.712885602812314;34.51699366545287;42.749893413867234;144.73451542127975;23.88805657152235;30.032105387667137;44.79473305377122;148.76916296229652;24.348463920965635;27.878106143850374;40.778239005370835;138.0648920900374;33.480318401606326;31.987306626207335;37.65859056481675;122.19961681125027
S10;complex_image_both;15.18359799058699;23.86273992532023;34.11714828709913;125.56053188453991;6.346458390842313;9.255325772504328;21.425580885963935;86.56070871709035;14.362381335363914;22.21965874800921;30.359072730718733;110.75250531056517;18.41675075046158;24.2390639334069;31.59822847650427;110.0982032422514;22.573860256118717;28.409974807921873;44.73712889946764;157.0872146137594;35.64840556099586;37.11321560378509;45.416874979750354;154.40474585828306;30.319205885799434;36.22082197563277;44.88112464573202;151.81247453469555;27.85215043436031;30.535716237925087;42.75548376504212;148.30229423781736;23.001650914771037;27.73121142367612;41.79719719299457;146.2069834387425;28.678341564039847;32.67109108723439;35.87094909666952;117.40899188489374
S11;complex_image_both;30.72127442266625;30.322864234130353;35.473230067393985;136.27260553531443;12.79729145385274;17.191898540609074;24.38512734252248;105.04694331374664;20.907162369955362;24.778248067208516;30.0607523781513;115.69946453543278;30.2142192398031;30.067117101093814;34.00756826969217;118.11548084361652;28.458529007159083;32.453429168072404;44.80422623051272;155.69329965791624;30.61494810524581;32.55270778315001;42.14485369839602;143.4352180337254;37.22189860261072;36.21474834610111;43.7154722266975;141.72542506824286;33.979711191663846;33.79824919797924;43.917745495177634;146.90272140585125;28.565880312689764;31.38558944532336;41.98143233075019;142.59482540532434;29.401489743266673;29.35032914906727;34.87494705041728;103.66442465302046
S14;complex_image_both;28.022489566320225;27.535003801075554;40.165735716707175;138.01822925864178;12.668223404616722;15.914636723876576;34.87180566798156;116.7712143093432;28.244268349343578;24.40864730153796;37.764692001504805;114.178213934545;28.21220742764944;27.62548153309613;40.04205273800017;120.57079026906275;25.306827845969366;28.833518554198527;45.82405020587375;154.14197922056098;33.04058288147222;31.021275570648548;44.48779442648603;138.2137387215857;32.23228078554524;31.433051644408778;43.00078583449269;132.53077334867257;29.23415386391313;32.700928555587794;45.73592673835278;142.7222890897215;28.277349737843174;30.033662032827365;43.28641069613572;139.35436693726228;31.332976358090967;27.613420434591568;36.758037584677645;88.68389457046837
S15;complex_image_both;35.764242590516226;32.22189703625689;35.87830605017555;107.33587394609881;9.50481442675455;4.028823930621269;10.365932090042056;41.068362716750904;32.375490266070884;26.891200930609408;27.512323144569283;86.71576577115373;27.69954892731887;24.071940060807954;24.632592717388743;79.21694753526424;5.4200378629816885;11.538215466013545;32.80499829665532;130.55386631297813;38.571975983251484;36.969201067235886;43.76915787502776;148.18520231998693;35.37658603404496;34.46652557559884;40.30238496412479;136.9180509546942;5.563329514369753;15.141425352652055;35.0908771569819;129.16734947893278;6.018656044284909;16.83099154263933;36.3068906223242;126.93896019681706;34.96597546943056;31.40691522967608;31.21555434885651;99.96403486515496
S16;complex_image_both;30.270736112988644;30.6303783428205;33.27024684391503;80.15761101015784;9.99669392422652;12.104060077811777;14.335636290314998;27.960262615529597;23.750025279658136;26.512383003933657;27.488649153200754;64.09740496785741;28.498517817036024;28.95783497195091;30.893589432471977;67.23353676501318;21.71599173161612;26.768033500928397;36.918602364033305;134.6265915121498;30.047829224768137;35.063114526372324;42.74314952414225;148.0429908629235;32.91846394580615;35.32414990762655;43.1398260362395;142.3767584073046;30.31403395156272;30.86331578435878;40.629872278962274;137.34518258538168;25.350323494754605;28.26398489218173;36.94114209752406;129.50999024342786;32.22727541524202;32.54811821045461;36.53473831356451;112.87872859511491
