;Test;DeltaOz-O1O2;ThetaOz-O1O2;AlphaOz-O1O2;BetaOz-O1O2;DeltaOz-PO;ThetaOz-PO;AlphaOz-PO;BetaOz-PO;DeltaOz-POL;ThetaOz-POL;AlphaOz-POL;BetaOz-POL;DeltaOz-POR;ThetaOz-POR;AlphaOz-POR;BetaOz-POR;DeltaO1O2-PO;ThetaO1O2-PO;AlphaO1O2-PO;BetaO1O2-PO;DeltaO1O2-POL;ThetaO1O2-POL;AlphaO1O2-POL;BetaO1O2-POL;DeltaO1O2-POR;ThetaO1O2-POR;AlphaO1O2-POR;BetaO1O2-POR;DeltaPO-POL;ThetaPO-POL;AlphaPO-POL;BetaPO-POL;DeltaPO-POR;ThetaPO-POR;AlphaPO-POR;BetaPO-POR;DeltaPOL-POR;ThetaPOL-POR;AlphaPOL-POR;BetaPOL-POR;SCORE_1;SCORE_2;SCORE_3;SCORE_4;SCORE_5;SCORE_6;SCORE_7;SCORE_8
S19;acuity_right;35.03210672;34.44375268;45.92671492;144.5554825;24.63859106;24.09825933;37.29885841;98.58441733;29.64736129;26.54162537;39.62103053;109.3380512;30.97027904;27.52680401;37.24835294;110.8828496;33.11585886;32.83965344;45.61549771;141.9224541;35.15482715;30.23042005;43.94876208;132.7026028;33.84583753;33.10681039;40.69963224;131.9869353;34.73060737;30.45761386;42.84589968;138.9805079;34.08264196;34.11817117;42.38595516;132.9777654;30.90228623;23.16579463;31.22181716;90.44437335;-4.00759;10.0857;4.79704;3.37226;1.76487;-0.152291;-4.20016;-3.17024
S20;acuity_right;33.0508413;34.56823955;42.22439217;125.9070521;17.44949285;23.19670634;31.55480367;86.26875891;28.42926572;30.40033547;36.81054266;109.1187018;32.89852916;33.83575113;41.53362054;119.361778;29.10953341;32.83470115;44.57159555;148.5693128;36.14298387;36.25959301;45.50817503;154.8152037;38.40806978;37.21654727;45.96701407;155.1619167;31.25235638;35.37335728;46.39263899;152.3893076;29.28660628;31.71748795;42.85663584;144.7782898;35.04058147;34.57601984;42.52265496;137.1666939;16.1411;12.1489;2.45475;2.1151;3.70452;-1.46232;3.39543;3.1592
S21;acuity_right;24.28634848;32.694992;38.07731425;115.4952743;13.58550659;19.24751169;26.07517214;74.81046233;21.42644471;25.88090571;30.31839652;96.64377931;19.26218456;27.81373756;34.97415492;97.87754655;26.58817712;29.77078918;41.29892055;142.0211069;32.37024697;33.74629071;43.1186786;143.5326947;29.80129737;34.44799497;41.81256232;144.8239808;30.90446528;34.30425079;45.79870481;147.9955027;28.43297615;30.28373031;38.39885646;142.566814;26.39463646;28.46370045;36.13535082;124.011891;3.48989;0.347585;-6.67019;-4.697;-4.72352;-2.505;-1.89946;-1.09842
S22;acuity_right;30.45404949;33.25783125;42.00731698;146.3024969;17.46207346;21.95282081;30.67426247;113.6899718;29.48017246;30.58531235;35.71692449;140.186465;27.99098588;30.5464337;40.5999056;143.4141596;28.60345738;32.47343067;43.04342133;149.9073895;35.84065367;35.94984905;44.90489118;158.9700788;36.54797356;36.97164827;44.67396174;155.1143453;31.03745143;32.84252629;46.47451929;153.2661945;31.48320446;33.95460409;42.21387309;146.1970134;34.9749748;33.56189303;41.28725402;147.0996887;15.9207;11.4607;2.24699;2.4898;9.23818;-1.15184;5.90063;4.28496
S23;acuity_right;17.37057631;27.28560836;40.39694877;143.4893215;13.06010108;20.44792676;32.58277547;124.9889031;20.24731439;26.50905782;38.69802787;127.0250043;19.76540682;27.5562451;39.37285226;139.3865511;29.64127157;32.99584753;44.11575147;158.1853714;32.90123066;36.17558042;45.54536646;147.0081909;35.03863902;36.25857969;46.05852183;156.7702569;34.25512141;35.90038126;45.61224309;154.3522835;31.71215818;34.14796378;43.67333001;152.1724156;33.04405593;34.27626534;42.10538498;128.5123893;14.4911;3.10541;4.33701;2.13375;7.93222;1.18474;5.89793;2.09727
S24;acuity_right;29.52744287;30.22443172;43.03080835;138.4769606;16.91598983;15.94382483;29.81287644;103.3455569;25.34997661;24.09907432;31.2393062;119.420636;24.79196975;22.6409407;36.00045633;117.5187618;32.28038283;30.63352019;40.63729032;147.8940959;37.01316557;35.64429564;39.54558821;145.1260227;35.28471171;32.98179177;41.7862337;139.7144155;34.74911321;33.51939749;43.66991467;143.4508661;34.12461483;33.98188251;40.67599616;141.1420749;33.2194992;30.11507212;31.76851958;109.1576466;1.14385;2.2438;-4.17756;3.56269;1.50878;-0.351879;-0.738542;0.687397
S25;acuity_right;18.72699645;23.20968944;34.44045602;122.4472448;12.89912772;16.71629647;23.41666275;91.42096886;21.80754529;25.02910413;32.80920954;114.9868983;20.64452304;18.32308636;24.36344733;85.52210936;33.60037089;36.54086016;42.65662569;155.9289065;36.52103862;34.77979252;41.92553665;132.8173021;32.09653939;30.56350624;33.51483913;125.2855958;28.3270193;31.21705166;35.71276487;118.9675146;29.93067836;32.51436933;38.76731105;135.584083;27.8529743;23.5840016;22.86125997;72.80747224;-18.4636;-8.49753;-9.1984;-1.26265;-6.93267;4.23414;-2.72517;0.729861
S26;acuity_right;23.90907298;26.00125471;41.77108224;134.2310714;16.12643527;20.13140654;36.34804206;102.6785121;19.98743713;23.38615083;40.37157887;120.2337216;19.19757723;24.61521484;36.32004962;107.2897718;28.42100697;34.63139132;46.84736003;145.4932418;34.40130239;32.76426121;44.0317211;135.4513371;24.84201271;34.63192135;44.21461424;134.7124769;31.65618638;33.6571497;44.36622873;136.0492379;27.51752292;34.84564642;45.25912768;138.9215812;21.18553841;29.0455775;36.91049394;97.58302019;-0.0904901;0.126505;5.4544;-2.97476;0.701004;1.91829;-1.98944;-2.33502
S28;acuity_right;20.7774742;27.93661898;31.67044145;108.6974237;14.73897039;19.57205348;23.99257989;80.39446544;27.12507577;29.94592954;36.30064258;115.4918896;15.23625429;20.76180739;22.6647621;82.03140595;32.3530001;33.93707713;42.97819004;144.5111429;33.11345279;35.9344315;42.67148867;142.5039112;28.9217421;32.5669419;38.6838281;130.1975108;27.94339357;32.52772854;38.42610694;134.3501416;33.95380399;36.74706764;44.46050416;147.6527104;22.68305263;30.48372381;31.12531259;104.7916372;-7.80607;-4.1401;-5.29973;-2.80216;-5.89037;7.67999;-0.97416;2.79523
S29;acuity_right;17.49804475;28.92425502;40.723547;126.8183335;11.29852089;19.67764091;31.40172523;92.31276084;17.06290554;26.06865262;38.5949193;120.095593;17.362819;22.69988578;30.94749597;112.921582;33.44843811;34.00468568;44.38124655;145.4900777;34.29048614;33.92646416;42.78009878;145.8212677;32.49603711;33.26725295;40.76376474;143.0049507;33.87481938;32.8746471;42.39494857;142.7229265;33.6040683;35.12366188;44.05358299;144.6904478;28.62007422;28.71198699;34.07391101;122.625216;-0.0959152;-2.4992;-0.260395;0.659718;0.348175;3.51969;0.209744;0.394916
S30;acuity_right;23.91046806;27.14607043;40.2118464;126.7975239;18.38709626;20.82952183;35.38627904;102.1609326;27.81656031;26.42249266;41.08058043;124.4562583;28.34192392;26.00764837;36.27154643;111.4884662;33.45125468;34.11573976;46.4199715;153.2480623;30.12514596;30.64678777;44.25951018;144.5120635;35.5887308;33.51947623;44.16889305;145.9470707;31.97337203;34.01787683;44.46044395;146.6718852;34.25125047;35.18662192;46.24171204;153.9171025;33.25782759;30.64095167;39.15781116;124.5024481;6.62326;4.70742;6.34325;2.50913;3.10324;2.87194;3.69059;-0.890208
S31;acuity_right;26.02939135;23.99132631;37.14706684;125.466193;22.73889801;16.68414321;27.50074165;95.92942012;26.56309796;25.56785693;37.90881068;117.9419833;25.6307485;20.82340744;27.65560273;94.359321;35.52560636;35.63026762;44.24584138;150.2583593;35.5393359;36.95642078;45.74607016;148.9332298;31.92254353;34.07500476;38.71472521;124.4706744;35.51214726;34.29532894;42.13356589;141.6029862;34.89940192;35.30676482;43.36527288;136.2022032;29.79347391;31.44346704;33.64805934;94.98609911;-3.12183;-0.214365;-0.238895;4.48608;-1.72888;5.27338;-0.821833;2.91853
S32;acuity_right;26.09253473;29.07883555;37.87407249;132.4358355;19.61504124;20.63261305;29.26339451;96.66041698;26.28576605;28.25048609;36.040146;130.6274703;26.454384;26.0537038;31.15357024;118.8763331;36.95215453;35.85559666;45.164123;151.1048516;37.30073673;37.58924118;43.17404385;155.3415175;36.75361041;35.71003077;41.74942829;151.7927936;36.9260794;35.59989527;40.88502691;141.948684;36.55722033;35.88251103;42.84379483;148.8829198;35.95205732;33.72930619;32.45359329;131.1555395;5.56998;4.39597;-0.788908;7.555;2.98181;6.05896;4.21495;4.79477
S33;acuity_right;18.15116968;28.09192748;35.4892467;130.0858439;15.25612826;22.02242487;28.69697297;93.36688303;19.87683173;27.93524914;35.9932604;120.0150806;16.45515106;25.94545087;30.14030532;101.5593238;36.15591303;37.34943134;47.05109883;151.648317;36.60732697;36.00149346;45.00531975;145.6730361;36.99360277;37.06640352;45.28552028;141.6588439;32.11025402;35.5945912;43.87331299;140.7696654;36.22944842;36.72160061;45.64112351;145.3240352;33.98255839;32.33126033;38.09476576;109.1322393;4.06734;-0.417929;2.24421;4.82408;0.571548;7.66647;2.0914;4.45891
S34;acuity_right;19.30331375;18.49563148;34.57733349;105.700671;14.29831493;13.81087485;30.07516057;78.90842427;20.20363345;18.07133677;32.1140497;100.4703835;19.51196849;16.45241411;32.56685459;85.9321794;35.97750966;36.26907997;47.76372993;151.8997048;36.34020935;32.09082547;41.9575877;142.1992554;34.32374364;30.65982911;40.01339888;129.3086957;34.15843556;30.89824298;41.55738873;136.8825411;32.07372311;29.88237176;40.84168709;136.0688797;31.14567548;22.98963596;30.12017318;96.8082271;-11.3385;-10.2161;-2.95217;1.96208;-8.97372;0.741484;-1.68674;-1.99939
S35;acuity_right;10.46599727;16.20222381;36.16522526;125.1590672;13.11869294;11.11648266;24.69471532;90.34556213;10.35637899;17.71893378;35.76182132;127.2219622;10.30179431;12.04362144;22.8706741;89.03443117;37.51925903;35.45901942;42.22694907;148.9450932;38.55013649;37.97463542;42.12286509;148.1313465;35.52292023;30.56144227;32.88759626;117.409316;35.84221722;33.89150305;40.82566821;133.4233636;36.181427;33.46812226;39.31609421;133.5215577;35.49378965;28.69466091;29.49426856;92.17933729;-13.0678;-16.1425;-8.24454;5.0259;-5.53316;5.60919;-3.13832;3.09147
S36;acuity_right;26.44418053;27.91856704;37.10796913;138.1695763;20.82863239;20.92526134;27.22396934;102.3429174;26.01431683;26.25386511;34.28233337;124.3921186;25.39463487;26.34659535;31.0526918;113.0924881;37.24941918;36.34530264;45.15347135;148.4293034;38.09174946;37.22666314;43.46584872;142.5509005;37.00872121;35.93104137;43.91212144;142.5709853;37.34012631;36.42891005;42.98730982;141.7805402;36.93017039;36.29731899;44.65197569;145.0001978;36.44183853;34.26182883;36.77211936;112.2675275;5.18838;3.69488;0.671771;8.5277;2.36779;6.7727;1.51957;4.26333
S37;acuity_right;26.09444;29.20951847;37.95874236;132.4492378;15.05877479;18.68331011;24.74976184;97.86309018;24.79773221;27.24856538;32.35586203;122.6821773;18.36289109;20.39043208;25.45301988;101.0971151;31.00176421;33.39242251;43.25126333;152.7632104;34.12388633;32.58325514;38.00926291;140.3543572;25.59191696;29.38899775;37.07857015;134.9644002;30.38671771;29.03590109;35.35040379;127.0700322;30.34324838;32.8499192;40.11007298;140.7547741;23.10096989;21.88071378;23.73786233;89.41914864;-15.4842;-3.55951;-7.64342;-3.66831;-3.47553;2.10474;-1.16347;-1.79812
