;Test;DeltaOz-O1O2;ThetaOz-O1O2;AlphaOz-O1O2;BetaOz-O1O2;DeltaOz-PO;ThetaOz-PO;AlphaOz-PO;BetaOz-PO;DeltaOz-POL;ThetaOz-POL;AlphaOz-POL;BetaOz-POL;DeltaOz-POR;ThetaOz-POR;AlphaOz-POR;BetaOz-POR;DeltaO1O2-PO;ThetaO1O2-PO;AlphaO1O2-PO;BetaO1O2-PO;DeltaO1O2-POL;ThetaO1O2-POL;AlphaO1O2-POL;BetaO1O2-POL;DeltaO1O2-POR;ThetaO1O2-POR;AlphaO1O2-POR;BetaO1O2-POR;DeltaPO-POL;ThetaPO-POL;AlphaPO-POL;BetaPO-POL;DeltaPO-POR;ThetaPO-POR;AlphaPO-POR;BetaPO-POR;DeltaPOL-POR;ThetaPOL-POR;AlphaPOL-POR;BetaPOL-POR;SCORE_1;SCORE_2;SCORE_3;SCORE_4;SCORE_5;SCORE_6;SCORE_7;SCORE_8
S35;Reposo_EEG;13.10705315;22.90335485;26.75879854;97.20150044;11.05430809;17.56773515;18.74068699;76.63627509;16.80343861;25.36120655;29.17532054;104.9114288;11.57091395;20.31840515;21.69914334;82.72397955;32.13645028;37.20868457;43.23031787;149.8493642;36.77231836;36.12290994;40.87673974;136.7885648;33.5062481;34.22764424;36.78198336;132.444991;25.72978591;34.56156706;36.77762654;129.0611408;33.02237414;35.23252201;38.58922213;139.1700477;29.47528494;29.58362836;27.11746861;96.41039812;-11.3803;-13.5262;-3.37817;1.44064;1.67385;-9.50574;-1.38322;3.41285
S36;Reposo_EEG;23.44003902;26.37308499;42.03349894;128.8363429;19.66385502;21.26979751;39.22689192;97.40032875;25.68209511;24.23059135;41.7048371;122.2357847;22.19346037;23.45689459;37.20156421;101.2328275;36.1435446;36.68521184;48.32889976;152.0890451;33.69293695;32.61771163;44.57894712;143.3986609;32.15891838;32.22986922;42.32361264;136.7836249;33.31239399;31.64731198;43.82223656;135.8232357;34.76825286;32.12924753;44.31296106;146.4196523;27.03222894;22.66095928;33.86613979;103.7751882;4.68455;3.7076;2.4763;-2.62603;5.11712;3.45865;6.36349;-0.213181
S37;Reposo_EEG;30.81004674;33.81597562;43.07608204;141.3932384;21.89104209;27.02952193;35.22763902;110.9961404;29.65506172;28.6989831;37.67386151;117.1892465;21.65015272;25.64974406;31.90840998;104.3860134;36.36118556;37.16219762;47.05619926;155.85575;33.31786408;32.96925365;42.24483461;133.8608665;33.15517823;31.68556894;39.919747;124.5917015;28.41733156;30.63870783;39.43266075;123.8030473;35.49524234;33.85278189;43.65966369;133.0755901;21.5810178;20.06882229;27.94071552;76.23725622;7.07458;-4.37238;-3.09895;-4.40997;4.29181;3.24269;7.07204;-1.16943
S2;color_right;31.28773122;30.48471348;39.29580826;141.4198751;12.10916177;12.67839537;25.05255358;110.7571464;30.89318357;29.20754532;38.39569993;140.9139984;29.49781189;27.87708037;34.53240548;112.476264;27.34274329;28.96235507;43.64965182;157.0948671;37.67071732;37.99944756;47.00051555;156.242249;36.20540843;36.11975035;44.81464486;146.9182977;29.17657046;30.67222888;43.6222516;152.3728637;29.44593793;29.6580601;42.44542592;145.2961434;36.59267949;34.76865952;40.17017452;119.7075191;9.1558;8.85032;10.2585;7.73796;-4.14966;5.88142;-2.47331;0.875244
S3;color_right;31.26433486;31.73328365;39.97548264;106.4997498;7.836555249;16.05430975;25.97651182;53.96533286;29.28769302;28.48716182;35.58903508;89.62167219;29.05554042;30.3373354;36.31549908;85.4654976;22.55099283;31.59381246;43.86400368;137.4106108;37.62362983;36.92339258;45.04798622;148.8389145;37.92592724;37.35345674;45.14551481;146.3522423;24.11021581;32.66431619;42.81696752;131.1778293;24.84423241;31.46383513;42.43175732;137.8116311;36.15615028;33.56116822;37.40527184;110.8335326;5.2892;4.41879;1.53032;6.72502;-6.6969;-3.92478;-3.48952;1.25858
S5;color_right;23.14180658;26.68497057;38.97522985;124.0132449;6.398553022;6.286946645;22.56449652;74.70195044;18.87546597;23.52533745;34.74364676;96.08515194;23.82772891;22.43759948;33.82863487;92.42149007;13.15793161;15.95499355;36.58093835;128.6682191;18.47006254;27.80703614;42.23801004;123.3433761;25.57828108;27.6866714;39.73154862;115.544894;25.02613898;20.24213398;39.01243072;129.4001952;23.28306233;21.22114936;38.30047726;124.2008545;25.07942934;24.50588921;33.63454742;72.43770466;-2.9476;-7.50707;-12.6724;-13.148;-15.5643;-6.35786;-11.15;-11.6846
S6;color_right;25.69705019;29.31874421;40.86280875;145.0507359;9.488878291;15.53214052;29.25030566;60.67519289;18.06292418;24.9125414;33.50653372;89.83862342;24.45427804;26.67032613;37.35380553;61.24988974;23.140378;29.00262123;41.84429577;94.3857333;27.89296034;32.67257611;42.80571884;113.7430151;30.93034223;32.6847456;41.11455084;73.2434005;32.36021398;33.92270709;46.29969271;140.0039452;26.65734457;32.16767787;41.64048875;128.0228447;26.63715174;31.33012438;37.24408032;82.57860493;-0.287567;0.0941712;-14.8542;-5.98931;-4.28396;-4.89881;-6.47756;1.33412
S7;color_right;30.26873713;29.86197197;38.35190381;132.2769884;11.32844572;11.98037439;24.89897467;93.37128148;23.20588722;25.73147961;33.47258866;113.4811793;26.98294489;26.94709607;36.61343235;124.426027;22.92869558;28.19623899;43.60950292;152.9876023;31.46114976;36.49430253;46.22219469;152.9009841;32.59764334;34.60054326;42.74556296;144.9677749;28.86991761;31.59889305;44.8267538;152.5621307;26.62626055;29.12771783;39.70309892;136.5941159;26.62201508;31.79064246;36.85188521;115.8507652;5.61873;5.04561;4.91815;1.76083;-6.74159;2.29903;-4.27009;-0.0478327
S10;color_right;25.61069636;27.62738213;39.19434726;116.7665262;8.062106903;10.29906052;27.12190494;81.52201805;22.76009729;23.02706951;34.72846129;100.5334599;23.99701181;24.16374053;35.68453866;110.0874305;27.29534535;28.20788531;44.98783918;158.0196503;36.73312036;36.31730799;45.09015356;154.3116808;34.01105433;33.09402905;44.15067378;152.1678937;27.9560215;29.97033114;43.28185688;153.2819642;26.68410985;28.0051665;41.30933317;145.0934219;30.43701303;28.30167106;34.70063628;122.4011376;1.77958;4.05384;5.64841;2.76604;-5.46929;-0.535239;-2.42181;-1.89034
S11;color_right;30.4670854;31.79794511;37.80033078;133.4902873;13.17435398;14.64766654;24.95469731;98.77501985;26.94952629;27.72895997;33.82851132;112.31822;28.44164498;28.70033456;33.72725988;114.2201321;29.74116995;29.55353498;42.97626214;152.0921181;37.12107763;36.30456449;41.59118153;135.0174401;36.73581949;36.0842538;43.20306422;142.6352913;32.6002154;32.48267456;41.64117378;138.5094747;30.73074873;31.04039214;41.82697968;139.2952886;34.7655015;32.93538988;33.46704463;91.8134617;5.08391;0.622477;1.76087;5.47388;-1.26931;1.36981;-2.77343;0.929954
