;Test;DeltaOz-O1O2;ThetaOz-O1O2;AlphaOz-O1O2;BetaOz-O1O2;DeltaOz-PO;ThetaOz-PO;AlphaOz-PO;BetaOz-PO;DeltaOz-POL;ThetaOz-POL;AlphaOz-POL;BetaOz-POL;DeltaOz-POR;ThetaOz-POR;AlphaOz-POR;BetaOz-POR;DeltaO1O2-PO;ThetaO1O2-PO;AlphaO1O2-PO;BetaO1O2-PO;DeltaO1O2-POL;ThetaO1O2-POL;AlphaO1O2-POL;BetaO1O2-POL;DeltaO1O2-POR;ThetaO1O2-POR;AlphaO1O2-POR;BetaO1O2-POR;DeltaPO-POL;ThetaPO-POL;AlphaPO-POL;BetaPO-POL;DeltaPO-POR;ThetaPO-POR;AlphaPO-POR;BetaPO-POR;DeltaPOL-POR;ThetaPOL-POR;AlphaPOL-POR;BetaPOL-POR
S3;reading_words_left;28.693525981866195;30.514173984412203;40.80040782798555;137.46985393780346;6.484492768285342;15.335497290599001;27.010597199313715;94.7560533452405;24.648722783320224;26.968753552478745;34.49362771747714;119.12044390392603;25.448658965903427;28.720195023929552;35.58610413870119;119.19567106731137;20.925233124716836;31.897440761138895;43.33903927522481;151.3408024609375;36.90466692664596;36.50512782613664;44.561872896049685;152.1403899044856;37.28284473666213;36.05168463032186;41.899010003699395;139.66248080921997;23.914662949512824;33.4501857949804;42.940556650230896;144.56387767438844;23.31943910561128;30.993399599121787;40.460738115124045;137.24344586775712;34.37184069359954;31.882677280880657;33.075883876178025;106.25808001456356
S5;reading_words_left;22.22486973630986;27.677808353606824;38.36331010172246;122.37606224177074;5.790207791855067;14.839818194780442;25.904716520358264;75.96459241500065;20.98468552380327;26.122637362775716;35.988645259721636;106.22113323037159;15.96676132653048;23.391436108967746;33.991574156516464;92.75168508445495;17.338902735219364;29.228962271023867;41.62120855329483;134.24241577580912;29.16434349608347;30.38463968202103;42.078208930956194;133.64586909618563;32.34154215756388;32.993243708525235;41.09421353121102;121.49422815203388;19.254652462169105;29.772631118009627;40.56821769615182;130.58192088593165;23.06307744747555;32.048761828281826;40.36535419620061;128.00992732999603;25.483077625937383;25.809425200345537;31.736740568185844;82.11442915433275
S14;reading_words_left;32.36787806543171;29.353055992135545;45.02754095886694;152.7264305114287;15.053281920413141;17.202106064897116;41.32096935633195;138.74869118299586;29.96255441956042;26.110700740176206;41.69075206407674;126.02876647485336;32.52061424765519;28.12134294041556;42.681865303960286;130.7643282230634;25.5621013020792;30.203343482700664;47.770158634029016;161.95835798464054;34.02661985274045;32.47656171229517;46.10221636491091;143.44274249594127;35.23775407587158;32.71081642970708;44.85175211434646;136.43772005853543;29.915860468065183;32.410079887495506;46.41792476607467;145.55826231968177;27.285155183990582;30.414172152096704;45.3950719848387;139.65247833608763;33.147857370106635;27.136459705551374;38.22643185159972;87.54311067701447
S15;reading_words_left;30.552900932409464;28.367414716433018;41.126368737764295;126.9077750372013;3.33928739901443;7.874616685760295;22.943624136559777;61.871233945158586;25.637634890942056;22.18721074708653;33.34700785150017;100.85332085900191;20.139673306100587;21.113299953737368;27.146363170517493;90.33547446709757;9.446171149165725;24.961551105786597;40.15133502330339;133.99312621293848;36.78496039094922;34.943563420948095;43.405491080925366;140.59039879558463;32.5911844639822;32.26067188655197;38.90074176381122;128.35771891271395;11.905526247433947;27.747644032504017;40.67887425401642;128.89829519413422;15.952379808028063;26.627365633374964;42.3799468757908;129.0728044315921;29.429817592882152;25.849624406968218;30.840166694895103;85.68366608093572
S16;reading_words_left;31.130258290737256;29.893957316010756;35.98451983604058;106.58257314459522;10.186690241996358;14.349818183207866;19.617974887544186;54.8948752892649;26.387412669735525;26.16091716405588;29.979513376019657;92.17561614285131;25.33073024120226;26.40160548922587;32.758788508885274;95.11933402536397;23.377148798366264;29.817525572140006;39.535863256703415;139.9042846170278;36.029150252637734;36.2105938175489;43.22367493675933;148.68471092320056;31.386063554202572;33.27057607897666;40.042379122397186;141.56255618022925;29.01556965514427;32.739641212113575;42.582275460828235;144.03481580872548;27.5761787395449;30.736598539878578;37.496652503521716;135.0585660316155;30.47795550383;30.902495746893635;33.608725476623576;118.88203123471561
S18;reading_words_left;28.37425716135021;29.796368412903085;41.692440499467715;135.1997970457998;5.572913126351955;13.85779330691407;26.25155802863728;87.60078779816038;22.12940993170878;24.583074349076792;34.059708544485474;105.48174901124338;21.2307844016957;25.325136269109297;31.186455436344428;111.46279336949875;20.968691629236794;31.181241250129034;41.95576657481663;146.27952081395534;34.574099906692155;36.022975157696486;43.372931278384755;138.0176778549185;30.399920868763097;32.10368468911573;37.35147299474585;129.77331694389022;25.785588848993953;32.868987912725586;41.34488459076097;140.41854007067852;23.49861824991102;28.44049189112266;36.541835641178395;118.32683734058084;25.009751297325124;25.666980630051036;25.49311012073981;77.32982047533463
S19;reading_words_left;26.303278885029812;31.21782707418184;45.20430135834116;144.72637487019028;9.847780184811405;16.063444120365574;33.91938515766469;93.9905093581181;21.493850034958164;25.604041424245676;38.42332822139469;120.83769965493515;18.592521179257123;24.288280519750785;34.35606743167069;113.48250416382369;29.6859202944969;31.93590691879033;44.300166125240004;142.17838523958295;32.42324962165584;34.62242777063415;42.71812218657409;138.22520955788846;32.31998809510137;32.97551050677656;39.14147877693021;132.54122197913497;27.9504665344649;31.531542225580374;41.454728763276;134.8267749369731;30.266376227944953;31.532208703890863;40.26212168433999;126.64800054547393;21.643461676210705;24.551111427685083;27.224957885699077;88.35321959395199
S21;reading_words_left;39.80237377580988;39.98902182250971;49.99545742042826;169.99148077613486;39.345957830140065;39.9664434508214;49.98430051297395;169.97085965898776;39.7095088754639;39.974408470069704;49.974506968329635;169.9690356336007;39.67853637729921;39.98742241757563;49.99283545565509;169.988359000648;39.82154109574369;39.99196748089419;49.99545582388201;169.99230377047456;39.89697248577919;39.985911190940996;49.98419281817914;169.9856540473401;39.94176149398967;39.99627930155023;49.9966527551527;169.99655589178502;39.78716480911234;39.985381417869526;49.98858464391983;169.99086047782498;39.8882357488333;39.99114085650855;49.99407165978081;169.99182050609136;39.85947987036484;39.98276673267887;49.9774481479455;169.98134240185294
S22;reading_words_left;31.401642688363424;31.375303097650622;42.89141081597282;149.28885186313698;9.235133371106734;14.483717998616338;31.105482211027944;102.49356312919784;28.008681422675515;27.068891564461694;37.175616339542536;138.14323465888782;27.275440475363546;28.09439122509714;39.82871014837323;141.3534626795377;22.29479966094627;29.67659083782639;43.97282933146238;146.8656187184834;36.91074991626168;35.6871040270999;45.18995397465759;159.58132024076286;35.75234719863123;35.94959625930669;45.15405995783329;156.32644810788207;25.390102656767098;32.135456941404115;45.357324754376705;147.66627092129676;26.380035856001257;30.774955879813476;43.40768443569877;141.74776727379964;33.739912138964854;31.780344282243412;39.81747301785283;139.22326664860702
S24;reading_words_left;29.868469634606683;29.22581109281049;42.73499134891887;117.80917915738846;6.958216648661784;14.549894666825136;35.89667965345057;69.52738265251921;22.54359270538918;22.66463249745768;35.53191558438299;82.4286280912294;23.817728857856807;24.802713847852125;39.53838731108436;82.3121210771348;21.29361418515588;31.101053045528417;45.85656601173287;140.40717170200526;34.60394266498963;33.82683769470901;43.58389487693597;132.81717359532496;33.334491061826725;32.06355026836545;40.575756766799756;109.58359469787041;27.545784257896795;32.40192038905324;43.82121697698477;130.94803244361194;25.876037815205272;29.83413057625272;42.27988479711625;122.45208528036275;30.10844017897859;24.154435933425646;30.824140285357718;62.82609327221413
