;Test;DeltaOz-O1O2;ThetaOz-O1O2;AlphaOz-O1O2;BetaOz-O1O2;DeltaOz-PO;ThetaOz-PO;AlphaOz-PO;BetaOz-PO;DeltaOz-POL;ThetaOz-POL;AlphaOz-POL;BetaOz-POL;DeltaOz-POR;ThetaOz-POR;AlphaOz-POR;BetaOz-POR;DeltaO1O2-PO;ThetaO1O2-PO;AlphaO1O2-PO;BetaO1O2-PO;DeltaO1O2-POL;ThetaO1O2-POL;AlphaO1O2-POL;BetaO1O2-POL;DeltaO1O2-POR;ThetaO1O2-POR;AlphaO1O2-POR;BetaO1O2-POR;DeltaPO-POL;ThetaPO-POL;AlphaPO-POL;BetaPO-POL;DeltaPO-POR;ThetaPO-POR;AlphaPO-POR;BetaPO-POR;DeltaPOL-POR;ThetaPOL-POR;AlphaPOL-POR;BetaPOL-POR;SCORE_1;SCORE_2;SCORE_3;SCORE_4;SCORE_5;SCORE_6;SCORE_7;SCORE_8
S34;Reposo_EEG;20.09054097;22.92545232;36.66547747;121.9629239;14.98153931;15.52700062;31.79812523;96.15579196;21.09306179;22.9965077;36.06586088;114.8778607;17.39191118;19.86467272;36.24836479;94.39822698;35.51515014;35.27668631;48.18680345;152.267193;32.43339605;32.48776463;45.75618531;135.0070502;31.0391402;33.08470659;42.44725046;118.441075;28.72536063;30.00821609;44.80780772;130.9603463;32.04033464;31.30167197;42.38625858;130.2976514;22.81547587;22.91213193;35.25984957;82.67612153;-1.46877;1.53954;-0.413127;1.98236;-4.33508;-3.81606;-0.744047;-2.42243
S35;Reposo_EEG;13.10705315;22.90335485;26.75879854;97.20150044;11.05430809;17.56773515;18.74068699;76.63627509;16.80343861;25.36120655;29.17532054;104.9114288;11.57091395;20.31840515;21.69914334;82.72397955;32.13645028;37.20868457;43.23031787;149.8493642;36.77231836;36.12290994;40.87673974;136.7885648;33.5062481;34.22764424;36.78198336;132.444991;25.72978591;34.56156706;36.77762654;129.0611408;33.02237414;35.23252201;38.58922213;139.1700477;29.47528494;29.58362836;27.11746861;96.41039812;-10.0392;3.18502;-9.69678;-4.78167;-3.40119;1.24562;-10.4479;2.23743
S36;Reposo_EEG;23.44003902;26.37308499;42.03349894;128.8363429;19.66385502;21.26979751;39.22689192;97.40032875;25.68209511;24.23059135;41.7048371;122.2357847;22.19346037;23.45689459;37.20156421;101.2328275;36.1435446;36.68521184;48.32889976;152.0890451;33.69293695;32.61771163;44.57894712;143.3986609;32.15891838;32.22986922;42.32361264;136.7836249;33.31239399;31.64731198;43.82223656;135.8232357;34.76825286;32.12924753;44.31296106;146.4196523;27.03222894;22.66095928;33.86613979;103.7751882;4.92375;5.05719;4.74909;4.21637;0.641228;-2.71461;2.04404;-1.58501
S37;Reposo_EEG;30.81004674;33.81597562;43.07608204;141.3932384;21.89104209;27.02952193;35.22763902;110.9961404;29.65506172;28.6989831;37.67386151;117.1892465;21.65015272;25.64974406;31.90840998;104.3860134;36.36118556;37.16219762;47.05619926;155.85575;33.31786408;32.96925365;42.24483461;133.8608665;33.15517823;31.68556894;39.919747;124.5917015;28.41733156;30.63870783;39.43266075;123.8030473;35.49524234;33.85278189;43.65966369;133.0755901;21.5810178;20.06882229;27.94071552;76.23725622;7.83023;4.91139;4.99353;2.18564;-5.70644;-4.22571;-3.66832;-2.88588
S2;color_both;26.11967864;30.36617676;40.33046001;138.0553863;7.287867885;13.41596478;27.06780773;100.2236391;24.72654688;29.36663078;39.29660759;136.5777937;21.84916962;28.2795809;37.24134694;112.0531385;26.75315506;29.84979582;44.04642005;153.2973062;37.72529422;37.46244003;47.43152843;155.4284666;36.01074092;36.98323975;46.09032145;147.3131406;28.40248763;31.2915096;44.35975251;149.4244086;29.35060511;30.5781041;43.21886588;143.4331922;34.52928716;35.00815026;42.58158366;121.2216915;6.15716;-5.95788;5.86858;5.96295;8.81371;6.39578;4.43786;2.30093
S3;color_both;31.45451352;31.02983132;37.22530539;89.94154847;6.195214088;14.35619615;20.29962942;33.74724699;28.99392995;28.28791586;31.82013289;72.15232159;27.91807771;29.2056162;32.2030035;68.35206055;21.31350702;31.18334816;41.96249615;130.7012404;38.1712413;37.5045751;45.70537806;149.5722902;37.7043784;37.61688313;43.54764467;146.1780432;23.25777745;32.20218851;42.23484704;128.3615853;24.58416894;31.37411116;40.89736764;132.6335549;36.13566748;34.73597755;36.59145607;111.2862805;2.82738;-9.08449;-9.93261;-0.539549;0.709214;7.0797;-1.15794;3.29073
S6;color_both;27.82695201;30.44383506;41.1350242;137.8401387;13.18339259;18.44412683;30.32408818;62.76266831;24.0229965;26.53004687;34.57641899;90.32216553;26.73078535;29.59974466;36.91980965;65.3397263;27.31201271;31.97250641;41.81930351;103.1255787;32.92176849;35.26125549;42.97104803;116.620189;33.46598492;34.85103471;39.8079036;80.2357101;32.73326865;35.2916001;46.04671936;137.907163;29.80027371;31.936146;41.81822972;128.5732374;30.72046414;32.617793;36.6002412;80.24213806;4.52487;-2.13602;-5.08966;-6.17954;-8.47131;0.565727;3.88507;5.26835
S7;color_both;29.56811805;28.36914969;39.02610429;132.6905989;8.53428181;13.27034477;27.44780039;94.24693943;25.88683821;25.25558238;35.36926554;117.4890982;24.61550407;26.12321701;36.17690119;124.1519991;23.18814274;30.99124098;44.80299336;153.6584432;36.25968207;37.35519862;46.1012377;155.3037823;31.97656132;34.70231824;43.66696171;148.755804;26.95772885;32.86704518;44.93240401;153.1667734;27.07729897;30.33578696;41.89944555;141.9981416;30.0671983;31.47981298;37.76675308;125.1632739;5.09946;-6.9938;3.30894;3.93949;7.65962;3.19456;3.10714;1.64212
S10;color_both;22.43478625;29.5247066;38.49102913;117.0788424;4.007242748;11.72973942;24.58173988;75.31565987;17.22938141;25.65682938;33.41079169;101.1506612;21.22240627;27.35864873;33.48442877;105.4323081;24.2567028;29.53119039;43.92739747;153.3081127;34.38290298;36.42772278;44.33596171;151.6609547;36.14951203;35.89030407;42.80402548;148.3401167;27.72209133;31.20165336;42.20929306;148.1117572;23.48893804;27.94123764;40.03088577;141.8142299;30.37489367;31.08035048;32.10334077;116.6904013;0.223308;-8.8351;-1.50752;1.18464;4.17886;3.53943;-0.781334;0.565321
S13;color_both;28.24726058;29.25069039;40.18445494;126.2841745;10.10759802;13.74033845;27.71620218;72.96519903;26.74299539;24.17997868;32.55483033;100.4991937;25.28221704;26.63420534;35.38435513;107.0269026;28.85441595;31.26202499;43.98198057;143.6594485;37.44757579;35.30654121;42.66568206;142.5329199;36.61185047;35.30887233;43.2045521;144.5811957;29.3372829;33.09180063;42.62529249;133.7192165;30.29003511;30.85794271;42.02368733;136.8961779;34.42620577;30.48886766;33.08772178;102.5133253;2.93333;-2.94321;-1.4546;0.282375;0.726171;4.55695;0.425855;1.0614
