;Test;DeltaOz-O1O2;ThetaOz-O1O2;AlphaOz-O1O2;BetaOz-O1O2;DeltaOz-PO;ThetaOz-PO;AlphaOz-PO;BetaOz-PO;DeltaOz-POL;ThetaOz-POL;AlphaOz-POL;BetaOz-POL;DeltaOz-POR;ThetaOz-POR;AlphaOz-POR;BetaOz-POR;DeltaO1O2-PO;ThetaO1O2-PO;AlphaO1O2-PO;BetaO1O2-PO;DeltaO1O2-POL;ThetaO1O2-POL;AlphaO1O2-POL;BetaO1O2-POL;DeltaO1O2-POR;ThetaO1O2-POR;AlphaO1O2-POR;BetaO1O2-POR;DeltaPO-POL;ThetaPO-POL;AlphaPO-POL;BetaPO-POL;DeltaPO-POR;ThetaPO-POR;AlphaPO-POR;BetaPO-POR;DeltaPOL-POR;ThetaPOL-POR;AlphaPOL-POR;BetaPOL-POR;SCORE_1;SCORE_2;SCORE_3;SCORE_4;SCORE_5;SCORE_6;SCORE_7;SCORE_8
S18;dots_motion_left;28.47078995;26.82836165;38.12849632;123.9004763;11.07913765;11.08880375;23.70114989;70.16414205;22.80763237;22.01962072;30.97457336;106.5653167;20.88765636;24.44749477;32.48797947;109.2043508;22.67914345;29.76925198;42.71079095;140.4008031;32.24427187;35.46453562;43.95587937;151.8951098;31.17705903;32.58542075;40.45774929;138.0780124;29.26510045;31.82276059;41.63291962;141.1589985;28.53591859;27.42182859;38.73400865;126.4124155;28.08136735;26.41980019;29.43111121;109.5909926;-2.49104;-7.88087;-5.61479;-5.31313;-2.43544;0.714416;-2.77426;1.20321
S21;dots_motion_left;26.83347752;26.87022831;32.69405413;100.9438237;6.603102593;9.605402134;17.02566905;57.97543561;20.07455452;20.97590636;24.49421758;86.64055231;20.44453411;23.62385254;29.80085547;91.42599572;20.24004731;27.02538588;39.22854093;143.6515939;30.13701287;33.35160525;41.57226884;149.9483998;30.64713912;33.76316866;39.87129989;143.370622;29.40685009;31.35091813;43.5266308;149.5252478;27.68419703;28.51265962;36.13996663;137.4623969;31.37630131;29.33767996;31.62412136;124.0686185;-5.47087;-11.6234;-10.6408;-10.8564;-0.185339;-0.632589;-0.44739;0.870604
S22;dots_motion_left;32.33830035;30.77186266;40.32813493;148.6774355;14.16619714;15.69266942;31.18804865;107.0571483;30.13253578;28.26866568;37.52170829;140.772735;30.98172355;27.39236099;38.37972614;145.4335303;26.94364101;30.4228903;45.78445821;148.883968;37.11622651;36.65883227;46.1906523;160.9422487;36.52577198;35.18227192;44.36687507;158.2672032;30.02859296;31.54402805;46.13540056;150.4865798;28.95302393;31.90018695;43.04619727;142.4992408;35.9849668;32.21047737;39.30464663;145.407011;10.0411;-2.91174;7.97558;9.36958;10.6617;8.44457;6.37387;2.23036
S23;dots_motion_left;30.86055682;31.97068891;38.10094128;139.8373765;15.35955996;20.8074788;25.66762684;104.8155135;24.91954639;28.12134604;32.20498641;118.9693067;27.57497705;30.53401409;36.62946374;125.6615515;30.86026079;33.97727176;44.10007459;153.8469179;36.10053262;36.25466085;44.27687118;149.9005987;35.73565842;35.30593808;44.35844597;147.9238611;35.04614563;35.47912409;44.26258357;150.0055219;31.66172729;32.37143839;41.34984394;148.1397153;32.18151919;30.94925905;36.57773795;120.4148929;8.57056;1.37918;3.09327;5.15494;6.86267;5.7166;7.16219;2.42723
S24;dots_motion_left;30.65502561;32.00513465;38.83754504;115.5345842;18.34105719;19.41731429;24.00020643;68.83135173;28.806756;26.5344791;30.06288367;92.28344794;26.80113286;27.7948221;32.75806536;98.36542941;32.78337526;32.8677289;40.27730529;139.5394339;36.54971916;35.40302942;39.64633237;134.9026682;35.36583811;35.2954996;39.56666403;133.9754641;33.6294329;34.60255062;40.10040495;134.8463474;35.23611182;33.76954485;38.42417907;132.1185405;32.39810643;30.16461912;26.73323245;93.15110237;4.24545;2.12057;-8.22276;-6.13738;-5.51576;2.41072;1.5183;-0.278443
S27;dots_motion_left;21.7930031;19.34304128;31.02729571;116.0933911;14.85576009;14.15932823;24.22089582;81.64575833;17.64429466;21.37670828;30.13222455;111.5040423;17.7599277;17.37077076;26.80094538;96.1155195;28.92148006;35.57028764;44.48831086;137.1175091;27.09528153;33.33074659;39.38982591;129.3092941;26.71445562;33.94057821;39.6432034;129.5420267;31.62901592;33.38257173;41.56131077;135.4442313;32.45694275;35.49257607;42.25477872;140.0381417;23.52594702;28.123205;29.75807788;101.527127;-9.60565;3.10283;-8.05694;-7.8822;-5.59253;-5.31303;-2.23471;-2.82793
S28;dots_motion_left;19.34662865;22.27932003;30.60584872;78.44541705;13.48878181;14.53247815;20.6953376;50.29928199;24.84780198;25.89061904;32.79578816;85.3599067;14.37856348;16.53265404;21.29854108;58.16413868;30.60268822;31.45461825;39.5835889;137.0251384;30.02129198;32.70121802;39.21101783;129.2180096;28.71072128;29.3237776;36.44140026;123.7566523;29.96006031;30.47066396;38.14635062;128.0790468;34.0760786;34.56465096;42.47306356;142.055915;24.86946795;25.06516535;27.03437347;93.27752894;-11.5108;1.88172;-14.7689;-16.3245;-9.65936;-6.78026;-8.01988;-6.28812
S29;dots_motion_left;10.15275133;14.89274581;31.28295673;119.320978;5.717300509;9.244723152;22.14016804;75.57675109;12.18411815;16.24329837;32.40536847;116.3955109;10.66860102;14.70984554;28.09265731;99.08145952;30.54912889;32.31207288;42.21709032;137.1987789;29.53995919;31.80472103;40.5769979;142.5035892;31.59130869;31.24838596;39.88537074;125.7430932;31.99000021;32.52053137;40.18621102;133.0633462;31.93128822;33.2683336;43.19598494;136.914853;27.79640145;27.25344331;32.9677599;105.6972544;-17.2775;0.896348;-8.66638;-8.14648;-5.78507;-4.47274;-3.97802;-3.22706
S30;dots_motion_left;25.45042117;26.29330939;31.09769263;102.6891293;18.76664694;19.02960168;21.90861396;63.03320339;27.81871738;29.38194395;31.32996954;101.5173251;26.92161987;25.1423876;27.9495535;79.93013793;34.45369278;36.00972893;45.01147747;149.6381815;32.75574496;34.83017844;43.51994718;147.9808446;35.11204068;35.61010351;40.78084476;138.2867437;34.1594171;33.21065785;42.67755834;140.2240516;34.55794233;35.61544741;42.485193;142.9527335;32.40952661;31.25428949;33.63548015;109.4098471;1.43134;5.71834;-3.98502;-5.7415;0.862396;2.65192;2.03774;-1.00105
S31;dots_motion_left;10.90485742;14.16182777;26.47987037;92.16941636;9.936548351;9.561687206;18.30347908;52.85479544;12.79733822;15.94117518;27.84617894;92.73396185;14.62071183;13.91822908;21.51274103;64.22247576;22.64618734;25.79545078;37.04459375;130.4308402;29.55372633;32.98806994;41.50538207;144.2532428;12.52508343;14.25082694;27.12896995;108.8232796;26.06323766;29.02070774;38.0763541;129.0049176;28.31135758;29.76438041;40.73393311;142.339708;12.42229142;15.95935429;25.28367157;94.02508745;-23.4289;-9.63484;-20.9164;-21.8982;-12.07;-15.883;-17.9549;-9.65899
S32;dots_motion_left;15.46070264;21.93590999;34.44301692;126.1251599;7.541918761;13.06838291;24.48069724;88.8477455;16.86786297;23.54413291;33.47893442;120.4041074;17.22995982;20.39655779;31.62632039;109.3859051;35.53771298;35.2644665;46.18922133;151.6122638;36.89809761;36.88955217;45.42137817;151.6631207;35.4748186;35.45527661;44.43121335;145.4901452;32.79898494;33.2509419;43.45724009;143.4905362;32.71885894;34.38210427;44.12329803;147.4867457;31.87374475;32.36959519;37.4640677;120.199868;-5.65514;4.19938;0.978802;0.317617;4.6853;4.73728;2.82407;0.26676
S33;dots_motion_left;12.19953066;20.61860974;35.37701726;119.1663724;8.366700954;24.94395475;37.88057478;114.2684076;20.674077;32.70082022;43.9032495;137.3561904;15.58309556;28.85847345;39.47285624;113.6980547;31.82015356;31.86837744;42.07667149;138.9423296;30.54878254;28.00921575;40.30498389;132.9601025;31.9233038;29.87721806;39.76999664;116.4174387;32.38273643;35.9077305;46.41500961;149.2858542;35.38564899;37.43731552;47.6316123;150.6480641;34.66954133;34.63040842;43.10420322;119.3303116;0.333837;6.51677;4.54931;5.68256;1.5051;-4.73397;7.41047;-7.45616
S34;dots_motion_left;10.19503866;19.03255806;30.41281466;125.6457535;6.040513072;10.6954332;22.67156661;85.09636344;12.85508121;20.57230751;32.73777257;114.0417079;10.59205729;17.11712131;26.81519128;85.5148313;35.71325978;35.3051522;46.4541713;150.0644952;32.92515168;33.14864222;41.34521474;140.6664471;31.40053997;30.61077543;40.56530821;118.6163813;28.45293228;29.28721331;37.98308896;131.5033287;28.87214081;28.84261288;41.18235306;125.6504916;22.62673369;19.99643789;27.70047815;74.95948691;-16.4972;0.294421;-9.65168;-7.67246;-9.43066;-4.30635;-10.9215;-1.09101
S36;dots_motion_left;19.35740195;18.43128663;36.65806255;117.8440274;13.9745023;14.00637769;29.45712631;75.56379169;22.4543192;19.67506759;34.76310084;107.0071479;18.62570251;15.28316709;32.19360567;98.79049264;36.50975549;38.12670493;46.77574677;146.8776857;35.31634344;36.60624862;45.44356831;148.7241217;35.6348626;33.99549249;44.63599202;144.0384557;34.2660112;35.35941932;44.77865171;145.5784097;35.88188944;35.115871;45.74415914;147.3353954;32.23798986;28.66547897;38.27619763;123.6720119;-4.62524;8.40974;2.88168;-1.89483;3.21927;3.37111;2.36144;0.132704
