;Test;DeltaOz-O1O2;ThetaOz-O1O2;AlphaOz-O1O2;BetaOz-O1O2;DeltaOz-PO;ThetaOz-PO;AlphaOz-PO;BetaOz-PO;DeltaOz-POL;ThetaOz-POL;AlphaOz-POL;BetaOz-POL;DeltaOz-POR;ThetaOz-POR;AlphaOz-POR;BetaOz-POR;DeltaO1O2-PO;ThetaO1O2-PO;AlphaO1O2-PO;BetaO1O2-PO;DeltaO1O2-POL;ThetaO1O2-POL;AlphaO1O2-POL;BetaO1O2-POL;DeltaO1O2-POR;ThetaO1O2-POR;AlphaO1O2-POR;BetaO1O2-POR;DeltaPO-POL;ThetaPO-POL;AlphaPO-POL;BetaPO-POL;DeltaPO-POR;ThetaPO-POR;AlphaPO-POR;BetaPO-POR;DeltaPOL-POR;ThetaPOL-POR;AlphaPOL-POR;BetaPOL-POR;SCORE_1;SCORE_2;SCORE_3;SCORE_4;SCORE_5;SCORE_6;SCORE_7;SCORE_8
S36;Reposo_EEG;23.44003902;26.37308499;42.03349894;128.8363429;19.66385502;21.26979751;39.22689192;97.40032875;25.68209511;24.23059135;41.7048371;122.2357847;22.19346037;23.45689459;37.20156421;101.2328275;36.1435446;36.68521184;48.32889976;152.0890451;33.69293695;32.61771163;44.57894712;143.3986609;32.15891838;32.22986922;42.32361264;136.7836249;33.31239399;31.64731198;43.82223656;135.8232357;34.76825286;32.12924753;44.31296106;146.4196523;27.03222894;22.66095928;33.86613979;103.7751882;4.02541;4.78533;-1.04188;-4.02645;3.73502;4.5757;3.81935;-3.74517
S37;Reposo_EEG;30.81004674;33.81597562;43.07608204;141.3932384;21.89104209;27.02952193;35.22763902;110.9961404;29.65506172;28.6989831;37.67386151;117.1892465;21.65015272;25.64974406;31.90840998;104.3860134;36.36118556;37.16219762;47.05619926;155.85575;33.31786408;32.96925365;42.24483461;133.8608665;33.15517823;31.68556894;39.919747;124.5917015;28.41733156;30.63870783;39.43266075;123.8030473;35.49524234;33.85278189;43.65966369;133.0755901;21.5810178;20.06882229;27.94071552;76.23725622;7.12013;4.59163;-8.84372;-6.08894;5.29887;-2.0308;1.46053;-5.73639
S2;form_right;31.5155996;33.08722343;36.26503896;131.2124568;14.98746828;17.9730867;19.17393023;94.35685349;31.09222402;32.31620064;34.95331612;129.5982857;30.38867168;31.09052598;33.06796992;113.7152593;28.87829953;30.41658877;40.04549155;152.7067632;38.16354277;38.13904925;47.49562771;155.771526;37.5952669;37.63357074;45.2369467;151.9094633;30.32848614;31.47162696;41.78173619;149.4945617;30.48515056;31.63023611;40.59284985;144.7205493;37.65938358;36.08886302;43.76099056;127.8928013;9.38056;2.40615;12.3384;11.6138;-5.87188;4.04929;-3.88487;2.82501
S3;form_right;30.16628124;32.13114033;38.09511979;90.06587218;13.98986457;18.02153687;22.19399993;46.16867048;26.79485839;28.69126177;34.20977749;77.2353035;27.03401001;29.90939035;32.22335225;71.78783587;29.37302147;31.678964;41.71720794;138.1220667;37.68269495;37.43779323;45.57391245;149.8331421;36.86230241;37.23435913;43.86624065;148.7461251;32.43175293;33.5703994;41.19637243;135.1206697;31.34127843;32.47290531;42.60302553;138.9819945;35.37575255;34.53434604;38.08025999;116.5699091;3.5083;-9.97607;4.35673;8.10583;-2.19103;-0.0416023;-1.07519;4.22928
S7;form_right;29.29009392;30.14231619;39.03299952;122.6470317;14.65303677;14.46161132;28.11064051;84.97703597;24.00459449;25.00270323;34.02514529;103.5341642;27.44156258;28.17087069;37.01550979;123.5023388;28.12379829;29.35143962;43.72201727;147.3885669;35.53576619;36.01403217;45.0746023;147.9490104;33.60109098;33.57000798;41.23741813;141.1550922;32.27862652;30.954476;43.22482495;148.4575692;27.60216883;27.88384009;39.51735481;128.4761105;29.70161639;27.34145028;32.6041952;110.2711293;4.42777;-0.356852;1.72034;1.8564;-7.61536;-0.33178;-1.65298;-0.27955
S10;form_right;31.44918063;31.45697299;42.08205143;113.8282441;12.54371071;15.56762265;30.83210831;76.84130751;23.33883353;26.09990909;36.98201293;96.29530705;29.82104285;27.99499763;36.35388292;106.925914;24.70980891;29.47600914;45.44397387;154.0517193;31.08418471;32.57016781;44.86420395;148.8867193;37.46268933;35.49892861;43.8896279;148.749755;29.15654401;30.83647406;43.37616906;146.6339575;24.75748408;28.82123641;42.42121954;139.1250324;28.80719318;26.49399;34.53165218;111.8142308;5.80886;-0.00388559;4.33274;-0.35122;-7.64616;3.48371;-2.60367;-1.5175
S11;form_right;33.72121343;32.81079665;39.28297826;132.0560137;15.50497181;16.38180486;25.33556361;99.43317199;31.11027979;29.47575783;35.46710171;119.6843686;34.63429561;30.55677184;35.57681532;116.2081851;24.65229102;27.60207084;40.74072909;152.925005;35.45593636;35.7789448;43.23936588;147.7362937;35.80992845;36.49359708;42.24611098;141.3446508;29.54921927;30.79648625;40.87895048;144.1616772;23.37016917;29.12402163;41.26923739;144.5264835;32.58290326;33.38743959;35.95128872;111.8504739;9.29607;2.19406;6.94728;4.91594;-8.672;1.11008;-4.34737;1.00644
S13;form_right;30.64269597;28.20312201;34.55388097;116.4747923;19.06440559;14.01970567;20.15097841;61.51971039;27.69262346;23.89065713;26.78027207;92.04833458;28.15474269;25.84195366;31.84856245;93.73544978;32.65836107;31.43239608;41.32202328;137.6605131;36.56956787;34.9043428;41.20414061;145.1933774;36.63932312;35.95676248;42.33794925;134.1168315;33.71121323;32.54650646;41.87479447;134.8608704;33.07820388;30.70493657;38.69883063;130.2827973;33.81580193;30.43591485;32.3033971;100.5024413;0.241465;-9.6469;-1.34649;5.60462;-2.60176;-5.93375;1.73548;2.86278
S14;form_right;28.9121461;31.37441155;45.45960603;149.1837105;15.82730813;19.08091915;42.12541925;131.2906101;25.3945247;28.11395484;42.01956313;128.8737418;27.76505982;28.78272241;43.66712237;123.9443073;27.84674251;29.60060386;48.06593999;159.3638458;34.47476675;33.85808823;47.00793979;148.667609;34.22389306;33.41027303;44.51611509;132.3888656;29.47272686;32.04431018;47.39299196;149.2919438;27.44018775;30.09698719;44.76359297;138.6668879;28.87553949;29.012041;39.3046484;96.64996121;10.8802;13.2767;4.15422;-1.55752;-6.03418;11.0537;-1.84319;-2.32658
S16;form_right;32.2387922;31.14083452;37.83988773;102.5536166;14.62441013;16.81311764;23.03203639;57.35699881;27.70943068;28.50894208;32.41144299;91.44022348;32.15302642;29.6515017;34.77423382;91.69341787;28.20856621;30.265981;41.2822969;140.6203085;36.97496598;35.73653908;44.22092686;148.8622498;37.23281457;36.10995354;44.66198384;146.0359219;33.31180997;31.99048356;43.442684;139.2309202;27.72630984;30.67943025;40.77781253;134.644072;34.93433925;32.51142939;38.50816858;116.7212698;5.37347;-6.82114;4.73857;6.79638;-6.11527;0.472141;-1.20827;3.1513
