Subject;Test;DeltaOz;ThetaOz;AlphaOz;BetaOz;DeltaO1O2;ThetaO1O2;AlphaO1O2;BetaO1O2;DeltaPO;ThetaPO;AlphaPO;BetaPO;DeltaPOL;ThetaPOL;AlphaPOL;BetaPOL;DeltaPOR;ThetaPOR;AlphaPOR;BetaPOR
S27;contrast_left;0.113618123;0.329679455;0.392442931;0.161013666;0.055100224;0.423688032;0.430174776;0.090026618;0.042538499;0.453178536;0.428576671;0.075046745;0.052875976;0.344327714;0.501285811;0.100408902;0.055614505;0.416536042;0.442130901;0.084845489
S28;contrast_left;0.305208109;0.290294839;0.194454593;0.207677824;0.180578903;0.302677482;0.277178288;0.236523524;0.153003292;0.310422815;0.293091641;0.240760964;0.205023783;0.287023969;0.270734189;0.234972012;0.146578297;0.276685556;0.318798434;0.254778478
S29;contrast_left;0.229333097;0.176673417;0.234763437;0.350447044;0.234221246;0.224886224;0.212081173;0.323311494;0.296789763;0.250667387;0.193836607;0.255318414;0.212010189;0.200067898;0.222410184;0.359015557;0.207645652;0.220777793;0.256213911;0.310420031
S30;contrast_left;0.076425289;0.13924937;0.288549711;0.493931728;0.054828328;0.161983607;0.287335694;0.49337036;0.049218234;0.147603493;0.292513309;0.507039142;0.0534258;0.122585637;0.288953715;0.532555389;0.039885305;0.143197977;0.313180222;0.500658359
S31;contrast_left;0.20592788;0.247428363;0.213552506;0.328552282;0.258752478;0.253127282;0.204370546;0.278566523;0.271198889;0.308055528;0.202786305;0.213895381;0.228319987;0.274925679;0.221966671;0.270223511;0.27963244;0.275918844;0.205752274;0.234275155
S32;contrast_left;0.141502274;0.350719485;0.252141876;0.251776168;0.114422763;0.363826983;0.261806061;0.256347076;0.121174009;0.394059749;0.257030891;0.224496063;0.131596249;0.385654249;0.25119576;0.228305275;0.114606313;0.380496738;0.25935012;0.242039258
S33;contrast_left;0.152322284;0.251843827;0.189538003;0.39992651;0.180436898;0.230592658;0.198929343;0.380821325;0.237331173;0.231544762;0.179179162;0.341233552;0.1730245;0.231191768;0.18809195;0.400437934;0.158042949;0.219906425;0.213897781;0.397252057
S34;contrast_left;0.159208053;0.202910242;0.415391644;0.218236666;0.106722438;0.191025226;0.483487369;0.215299491;0.091993227;0.19103175;0.529110827;0.185298897;0.095569288;0.17647468;0.52500617;0.19968296;0.079761704;0.138848667;0.589622935;0.189512422
S36;contrast_left;0.153785022;0.298830303;0.256629299;0.284349344;0.092428774;0.298433373;0.404374191;0.199235224;0.130674493;0.304795439;0.414189781;0.147000267;0.092598906;0.289009861;0.443692443;0.170165243;0.097178145;0.292837665;0.420981962;0.183909287
S37;contrast_left;0.164772156;0.354537899;0.220999241;0.257306161;0.118285881;0.349930302;0.265618936;0.264558124;0.111820737;0.381147386;0.266699514;0.239084914;0.133043909;0.294532767;0.255302246;0.315219967;0.104219938;0.361652547;0.271575722;0.261021112
