;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta;Theta;Alpha ;Beta
S13;acuity_both;0.240999903;0.355711086;0.146295037;0.25267408;0.22360021;0.351373034;0.150129172;0.270059116;0.223849009;0.335196805;0.140069041;0.295582521;0.220018683;0.341069592;0.158099946;0.276316081;0.202112024;0.326475704;0.160966894;0.30431411;0.220238301;0.313593468;0.155720462;0.305816321;0.21029894;0.320143526;0.16562895;0.299247959;0.308223414;0.468712643;0.2153819;0.400802038
S14;acuity_both;0.220513884;0.211096672;0.353255608;0.211445467;0.200123432;0.19150211;0.357846747;0.245249933;0.169843696;0.15167723;0.267840147;0.391437982;0.252495165;0.199387707;0.34681623;0.198425947;0.189710142;0.213394937;0.372002896;0.221309033;0.197107479;0.212182413;0.370964051;0.216936674;0.210911696;0.195748697;0.376588868;0.214334121;0.288141099;0.274997953;0.48906291;0.339827832
S16;acuity_both;0.198096562;0.339633031;0.235576849;0.222909013;0.218903526;0.297318624;0.238655437;0.241101413;0.223198381;0.285363924;0.253475217;0.234706212;0.187775918;0.326867903;0.239603133;0.241173592;0.193345283;0.336137136;0.214506176;0.250362957;0.201059776;0.280598324;0.290906481;0.224629283;0.219916646;0.308758119;0.249880867;0.218812088;0.288459219;0.434935412;0.344520832;0.326738912
S18;acuity_both;0.11213466;0.31278877;0.18398553;0.386777283;0.113562029;0.316277394;0.177787667;0.388158002;0.107958071;0.317461692;0.187459041;0.383027946;0.115284515;0.311902203;0.183126359;0.384471779;0.116571919;0.299847173;0.195248624;0.383301707;0.105330143;0.290117782;0.206305051;0.394231922;0.096915711;0.281408157;0.217348908;0.398875661;0.153551409;0.425960634;0.270252236;0.54376886
S19;acuity_both;0.167032594;0.45325216;0.219127066;0.157877599;0.16742857;0.417047314;0.250953687;0.161529111;0.154742254;0.362856446;0.273588492;0.20431409;0.16816091;0.455424787;0.214257955;0.159720915;0.186202927;0.389567818;0.253195567;0.168692461;0.159355461;0.363914788;0.296027379;0.17737006;0.151904601;0.444918189;0.247606782;0.152740547;0.230965463;0.5773963;0.350951386;0.236448956
S20;acuity_both;0.219495369;0.399496041;0.193513651;0.186558942;0.225839026;0.365849405;0.211302545;0.196139284;0.275897114;0.291882289;0.234089008;0.196841067;0.244493965;0.385470524;0.194480732;0.1745484;0.277875226;0.350651938;0.210406874;0.159891543;0.239860284;0.321052641;0.239047153;0.198962154;0.242051207;0.370030378;0.213002225;0.173940622;0.345102438;0.496886643;0.299168438;0.257376402
S22;acuity_both;0.233670257;0.365255985;0.149052652;0.22306385;0.24259786;0.340178142;0.139575667;0.244638557;0.269046191;0.277078427;0.1328215;0.28052835;0.236612843;0.363248955;0.148312132;0.222139769;0.278333486;0.296016989;0.143386161;0.247116142;0.244614309;0.316866446;0.129739928;0.272777721;0.230352071;0.357671662;0.145262991;0.235971181;0.347045403;0.463263321;0.197630206;0.345247114
S24;acuity_both;0.179412181;0.282030803;0.326924906;0.208431415;0.177298547;0.284803538;0.307517118;0.227107514;0.206722967;0.294856724;0.270869865;0.223310837;0.184038961;0.295835252;0.306958885;0.209653711;0.168740703;0.340938565;0.281812073;0.204832551;0.148351351;0.268028715;0.347892618;0.233320597;0.152943495;0.323141233;0.320811296;0.200705508;0.243501641;0.417926966;0.432557353;0.301472427
S25;acuity_both;0.21615149;0.299673105;0.172496324;0.305429873;0.217473432;0.262193281;0.173573039;0.339452561;0.243067838;0.233367115;0.163514838;0.352807268;0.212596912;0.254872471;0.182754936;0.342925701;0.209189919;0.234098344;0.187955413;0.361217593;0.239563912;0.260238769;0.188620114;0.306111322;0.220990749;0.271154816;0.202122043;0.299493467;0.31180685;0.36311958;0.254207342;0.461487557
S26;acuity_both;0.122378288;0.394166937;0.253908424;0.226716276;0.10680778;0.363368715;0.287906181;0.238950334;0.104695515;0.326271917;0.311721754;0.254180674;0.115471189;0.375453082;0.248655586;0.255988018;0.147205933;0.314387927;0.259303898;0.272975817;0.11627359;0.360566527;0.283164203;0.236072166;0.134419428;0.378543843;0.219455627;0.263202154;0.169450345;0.50255179;0.372823135;0.349617088
S28;acuity_both;0.298209024;0.351335702;0.18994838;0.156357069;0.349081226;0.334951144;0.170157541;0.142456681;0.342388503;0.339017703;0.159637946;0.155518207;0.298213742;0.325145148;0.193641073;0.177148335;0.259469398;0.309137697;0.192174606;0.231925532;0.342019845;0.348896686;0.171153639;0.13460687;0.322806083;0.327244567;0.188568185;0.157297159;0.442437564;0.467145729;0.253056274;0.231061971
S29;acuity_both;0.220446197;0.352452805;0.20669571;0.217538186;0.245473399;0.30700423;0.218308091;0.226314599;0.250055554;0.273949683;0.21833787;0.253615666;0.244384187;0.288171331;0.218796184;0.24473598;0.248423314;0.270741478;0.222604477;0.254923772;0.251986657;0.297810096;0.223596862;0.223767479;0.242025184;0.285803656;0.232767084;0.235601002;0.340558898;0.415186656;0.308221255;0.331299337
S30;acuity_both;0.12044644;0.260698179;0.246870481;0.368059104;0.148538226;0.227521804;0.240111752;0.379884461;0.10361903;0.186387;0.262571371;0.443041184;0.125894129;0.311530258;0.249285907;0.309270113;0.094479921;0.263424915;0.294052496;0.342663293;0.129621708;0.184130164;0.274610322;0.407970355;0.119489985;0.227504766;0.288869491;0.35991967;0.168417888;0.332239417;0.371274364;0.522161636
S31;acuity_both;0.188771258;0.408409736;0.192384451;0.207721912;0.15269306;0.380170858;0.207848349;0.255385578;0.186361236;0.290313832;0.207921431;0.31052923;0.225602179;0.350097381;0.18800559;0.23287588;0.35842872;0.283621236;0.159531269;0.19516842;0.234823937;0.388448536;0.182768602;0.190888861;0.238631825;0.413091454;0.170140852;0.174827149;0.317062443;0.502830607;0.261720109;0.313479406
S32;acuity_both;0.123622089;0.315202988;0.332173581;0.22594097;0.125118721;0.28831342;0.341562875;0.241359512;0.140986001;0.245982168;0.334410952;0.274458128;0.121234963;0.279159363;0.341161387;0.254154315;0.143038322;0.230749646;0.310380228;0.30930343;0.137716069;0.316623796;0.33076163;0.211911841;0.156417735;0.292681012;0.345576802;0.202391208;0.18962678;0.393742478;0.467205491;0.343903881
S33;acuity_both;0.17298424;0.260970784;0.198670975;0.353685238;0.150937311;0.275896542;0.208736989;0.350622664;0.160228588;0.252033077;0.204650166;0.367931537;0.178287905;0.275206124;0.189460155;0.344371239;0.175972551;0.238605209;0.166064709;0.404091139;0.174828194;0.282397775;0.224023836;0.306537233;0.18993671;0.290575677;0.196544169;0.312507259;0.2406351;0.375137038;0.2776302;0.487949262
S34;acuity_both;0.130844312;0.283429871;0.407075296;0.176565372;0.135777008;0.243042367;0.437663801;0.180556999;0.11789812;0.210196946;0.480536737;0.187834406;0.125067125;0.214679195;0.490069389;0.167953574;0.119266489;0.175137398;0.543319505;0.159572728;0.112705195;0.192387257;0.52748934;0.165113289;0.093880074;0.158751218;0.59904778;0.146198333;0.167087665;0.29552485;0.69704037;0.23675894
S35;acuity_both;0.180876289;0.429148632;0.164966853;0.220408608;0.178614278;0.430687254;0.157049211;0.2292575;0.175977977;0.351694996;0.134197917;0.329449557;0.191787335;0.381860604;0.141521061;0.27724918;0.148486328;0.186615755;0.110658998;0.521711253;0.230236494;0.388179998;0.147801445;0.229184099;0.291177628;0.302439147;0.131430954;0.26679464;0.279431266;0.494125277;0.197525288;0.414810967
S36;acuity_both;0.168350784;0.387156376;0.194669138;0.244427295;0.196974718;0.330170733;0.195588063;0.272948615;0.204804346;0.274327086;0.213057927;0.30333317;0.183986668;0.348624153;0.195849405;0.263689104;0.199315595;0.238454886;0.236124832;0.317120523;0.20577692;0.365172573;0.215613048;0.209567364;0.221191621;0.390992624;0.207418856;0.176638936;0.27608013;0.466979686;0.291664254;0.357545002
S37;acuity_both;0.251693365;0.354861941;0.159110817;0.23234986;0.252788149;0.301839808;0.186763278;0.256633815;0.234867498;0.291598119;0.21215306;0.259042292;0.231512199;0.352454231;0.16638327;0.247429027;0.216463102;0.29821774;0.182647076;0.299760959;0.24744084;0.299829971;0.1992296;0.251693924;0.2200729;0.307009748;0.201189532;0.269748686;0.330967611;0.441162312;0.261495326;0.363331713
