;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta;Theta;Alpha ;Beta
S31;Reposo_EEG _AO;0.332572975;0.221793754;0.178524881;0.263416601;0.254903567;0.237650759;0.1976286;0.305645927;0.295529222;0.20598426;0.1887101;0.305597726;0.402879146;0.212576213;0.154431068;0.226210881;0.395832855;0.218553743;0.150286225;0.231288848;0.397570158;0.240777857;0.152705095;0.205652264;0.381141263;0.247973513;0.159816717;0.207936996;0.492085837;0.317062019;0.236420537;0.349149848
S32;Reposo_EEG _AO;0.135092203;0.264566946;0.300307173;0.297525903;0.142777814;0.251293749;0.304473909;0.298868291;0.142449765;0.246160857;0.303882272;0.304761345;0.125651225;0.261497754;0.294430377;0.31592944;0.120902781;0.251122552;0.274343701;0.349561891;0.151541079;0.274944994;0.312648489;0.258629931;0.145032553;0.319095456;0.274744256;0.258947772;0.192689484;0.373736462;0.412966035;0.416844914
S33;Reposo_EEG _AO;0.127308335;0.148879039;0.293399001;0.425481378;0.107284326;0.139234954;0.296270831;0.4521383;0.114386467;0.147709235;0.270234805;0.462877841;0.117717359;0.143687827;0.359527066;0.373423851;0.108257725;0.143725675;0.307326839;0.431340867;0.108313136;0.155339716;0.311695177;0.419543671;0.102772078;0.142721984;0.392748942;0.357833804;0.157207885;0.204259686;0.446240532;0.584527942
S34;Reposo_EEG _AO;0.045399437;0.076905082;0.781278527;0.095307921;0.043954555;0.071277148;0.784691356;0.09899703;0.045785304;0.078846606;0.775223788;0.098888898;0.039615549;0.071220959;0.796896484;0.091306553;0.042578663;0.086604328;0.763937099;0.105626554;0.050725451;0.094243387;0.765547498;0.088346459;0.034925843;0.070477373;0.813711022;0.079965416;0.06059696;0.109914977;1.096257155;0.131687766
S35;Reposo_EEG _AO;0.35630153;0.252131909;0.11462818;0.269699643;0.324886279;0.24301484;0.123534162;0.299966178;0.310997426;0.239738956;0.124398273;0.315149121;0.343673898;0.256255608;0.126056649;0.266478597;0.328814639;0.225193653;0.125203237;0.309423959;0.331460169;0.274690503;0.132563431;0.254409017;0.334820651;0.257236631;0.140694699;0.261296069;0.466190918;0.34965242;0.177415726;0.395284517
S36;Reposo_EEG _AO;0.178046755;0.200275421;0.28473756;0.328809057;0.172578561;0.199721795;0.299678826;0.31991647;0.145507249;0.180946345;0.305746563;0.358012209;0.16298835;0.185436712;0.302286148;0.339109236;0.149637855;0.161169638;0.219932346;0.449812869;0.218207589;0.223049474;0.302874468;0.250234607;0.211830707;0.23132818;0.275472133;0.274551636;0.247759413;0.276385513;0.398145609;0.464089217
S37;Reposo_EEG _AO;0.247093116;0.228397806;0.246316715;0.276595017;0.230123995;0.217936249;0.262203077;0.288383921;0.228348564;0.23360341;0.247575981;0.288801512;0.225936761;0.212119916;0.255843299;0.303950589;0.16581619;0.157410998;0.314448585;0.360410712;0.242773223;0.223567765;0.257268779;0.275067453;0.252141979;0.215620576;0.254907877;0.275653337;0.318446765;0.297731344;0.367712863;0.413772508
S2;Reposo_EEG;0.084274014;0.201487068;0.537996972;0.169335418;0.083492737;0.200760923;0.538751744;0.16987547;0.067856455;0.188955201;0.543849361;0.190170045;0.081104719;0.194648414;0.584956492;0.135584374;0.074135429;0.176936037;0.62357283;0.122506043;0.080595194;0.18765046;0.575794581;0.1506192;0.093265623;0.175971458;0.606816522;0.121315516;0.112944834;0.265281912;0.8023477;0.211881213
S3;Reposo_EEG;0.129752836;0.141818082;0.294098256;0.432593025;0.137386623;0.146578058;0.273500989;0.440725977;0.132268275;0.124758193;0.296098425;0.445474499;0.12405103;0.14986166;0.292767322;0.43116859;0.117722647;0.134366921;0.326008894;0.419545286;0.137935314;0.154424897;0.303012867;0.402711727;0.106070589;0.142049078;0.316296015;0.433546736;0.177037463;0.198771378;0.420356553;0.601153168
S5;Reposo_EEG;0.058222969;0.080276474;0.509030069;0.350691699;0.042929939;0.076272608;0.506356403;0.372803117;0.050821414;0.069161978;0.495685695;0.381933957;0.065829075;0.077831878;0.520608574;0.333886421;0.062960263;0.074216503;0.517960949;0.343499265;0.058014835;0.085560574;0.510927627;0.343518885;0.067935013;0.09032141;0.535233769;0.305048547;0.081342701;0.110728285;0.719160617;0.486276378
S6;Reposo_EEG;0.072897328;0.12568435;0.60266697;0.19572306;0.066087988;0.117934464;0.603641541;0.20819975;0.055440901;0.102793799;0.582101205;0.252789277;0.05406354;0.102417742;0.654833434;0.184947108;0.038786852;0.071394729;0.70462328;0.181756042;0.073082035;0.128085568;0.625195472;0.170231801;0.058788424;0.115990647;0.681652868;0.141401869;0.083829414;0.15286026;0.890942954;0.267009781
S7;Reposo_EEG;0.195539237;0.253267508;0.347262422;0.200275812;0.15855454;0.266646694;0.359443143;0.211417661;0.156931109;0.252491269;0.379088662;0.207804818;0.170393997;0.278704308;0.360059402;0.186546714;0.139847258;0.239731323;0.410081092;0.206549316;0.345687892;0.270756186;0.245045724;0.136244695;0.29696162;0.252204039;0.28388234;0.163836097;0.292783131;0.362760265;0.476972557;0.262535023
S10;Reposo_EEG;0.046024186;0.105495539;0.740327578;0.105825812;0.045309523;0.093219522;0.75929807;0.099796927;0.043519559;0.087231073;0.769436707;0.097460807;0.041012058;0.098803337;0.754936971;0.103075129;0.034868353;0.088789628;0.77755804;0.096708987;0.046193447;0.093936942;0.765477421;0.092373541;0.043955778;0.098877623;0.763893676;0.091338042;0.060176581;0.133270733;1.066185693;0.137315849
S11;Reposo_EEG;0.05679092;0.068744778;0.778342223;0.094905793;0.051489402;0.064253821;0.797350097;0.085788797;0.043072873;0.061359782;0.810671873;0.084004112;0.051493335;0.062695526;0.793337998;0.091123907;0.04110516;0.056460826;0.811308672;0.08980122;0.031568283;0.047074548;0.855349911;0.065156848;0.03746695;0.048309865;0.836486006;0.076504416;0.062597385;0.081779829;1.136569356;0.117457019
S13;Reposo_EEG;0.205198193;0.222247612;0.185734879;0.382843269;0.205640154;0.210230255;0.190310994;0.389873285;0.200816508;0.198999236;0.189236053;0.407081704;0.187757332;0.209992699;0.185012866;0.413346532;0.198008991;0.204013031;0.176979476;0.417026588;0.238803662;0.213285371;0.179642319;0.363479144;0.216491557;0.21398506;0.177336253;0.387947785;0.29054328;0.294550653;0.256850568;0.552319661
S14;Reposo_EEG;0.123002082;0.142456723;0.58786154;0.145013898;0.126304707;0.127040883;0.595312326;0.149850794;0.103355641;0.117978938;0.558598567;0.21689476;0.12021412;0.147800602;0.594594293;0.135603073;0.108041335;0.155264965;0.601669467;0.133237411;0.104588152;0.123508032;0.61569175;0.155165385;0.102167991;0.122565062;0.641945216;0.132045402;0.157534806;0.187323041;0.839134632;0.213562145
S16;Reposo_EEG;0.134461145;0.163576543;0.52949572;0.170416137;0.136523999;0.156807294;0.520389682;0.183351454;0.142407747;0.177374263;0.493909806;0.18347398;0.125929296;0.160636355;0.544024657;0.167247377;0.121589104;0.16366663;0.536104393;0.176562937;0.109080276;0.131132771;0.612963738;0.144644588;0.092704736;0.122660862;0.645231115;0.137944252;0.172539261;0.215170944;0.776423822;0.232728145
S18;Reposo_EEG;0.155612236;0.276217385;0.296412815;0.268988361;0.119584201;0.287792747;0.302316421;0.286603997;0.105493986;0.283351864;0.330677626;0.277263786;0.175189426;0.285986362;0.268347169;0.268218059;0.137233415;0.256838635;0.31231903;0.291139679;0.121613763;0.285533985;0.325670435;0.265308946;0.144361535;0.264492789;0.308695979;0.280332775;0.191817713;0.388042753;0.428887895;0.387571121
S19;Reposo_EEG;0.103513269;0.230890014;0.533972493;0.129876276;0.108123172;0.23844013;0.518638562;0.133099188;0.111965062;0.243446989;0.47608103;0.165653428;0.099811215;0.230330994;0.538658858;0.129411281;0.11556619;0.226280017;0.526141606;0.130338387;0.085046777;0.223479545;0.55585678;0.134386136;0.084291412;0.225685122;0.565898639;0.122719424;0.14166342;0.323710562;0.743049594;0.189096824
S20;Reposo_EEG;0.097505912;0.103204504;0.670500556;0.128141749;0.10122153;0.080481046;0.681340204;0.136400654;0.042247567;0.055585418;0.756867641;0.144876796;0.034982956;0.052466735;0.769281474;0.142857713;0.02913605;0.045190497;0.785569599;0.13967444;0.042417678;0.049767387;0.779482347;0.127819821;0.029788932;0.041852214;0.807199437;0.120736381;0.075460125;0.08570956;1.050048252;0.188101511
S22;Reposo_EEG;0.113077965;0.129640326;0.309647611;0.424037747;0.1080997;0.128582199;0.31900108;0.421228605;0.1098059;0.127430073;0.314947978;0.423937009;0.094786144;0.130564771;0.336226715;0.415984095;0.095199619;0.147549071;0.318398548;0.417462685;0.110001698;0.122759145;0.316977783;0.426206692;0.094227341;0.120121505;0.353787593;0.410653648;0.145039674;0.181329418;0.453797461;0.587902096
S24;Reposo_EEG;0.078346676;0.069474141;0.792051919;0.059393913;0.08279501;0.078083517;0.770156083;0.068157886;0.064226531;0.062851647;0.808185233;0.064164068;0.053198029;0.054839072;0.842817036;0.048569557;0.042544261;0.052886855;0.85221934;0.051757018;0.080062252;0.07366373;0.776250498;0.069276828;0.035923389;0.039244859;0.881932043;0.042454895;0.08741923;0.086208764;1.14472243;0.080754833
S25;Reposo_EEG;0.094669445;0.133350225;0.236356026;0.525523254;0.093708012;0.126863936;0.253590644;0.517700601;0.099491801;0.138074871;0.226473139;0.524235744;0.08589375;0.124422586;0.235741701;0.541701586;0.065040865;0.12175537;0.221477945;0.577965053;0.09904685;0.133063834;0.243375879;0.517899892;0.094552449;0.127182117;0.223016303;0.546832167;0.126480635;0.180942588;0.328006327;0.750371659
S26;Reposo_EEG;0.100323978;0.240852873;0.400259025;0.255348224;0.070205611;0.200211225;0.492245034;0.234337789;0.066460989;0.17700482;0.527055816;0.226406766;0.066803499;0.193632242;0.487046389;0.2493697;0.100763818;0.196148564;0.478841123;0.220487748;0.073562239;0.16102521;0.555873369;0.206285888;0.065192313;0.151400196;0.567816269;0.213221611;0.108662489;0.264055026;0.701827405;0.321091545
S28;Reposo_EEG;0.221513101;0.191018996;0.437418045;0.148275076;0.198359133;0.172150815;0.477746093;0.150144877;0.157116403;0.143626708;0.552179504;0.14570856;0.123328745;0.149277936;0.581875593;0.143091729;0.117145157;0.111966041;0.63779645;0.130664178;0.143733854;0.123097864;0.585997645;0.145743374;0.126246738;0.115067167;0.611126567;0.145546384;0.217488626;0.201241105;0.776827979;0.201834836
S29;Reposo_EEG;0.053648048;0.071127437;0.706106795;0.164252818;0.045665419;0.058888378;0.765970656;0.126010739;0.028228115;0.052914354;0.816829075;0.099484264;0.043429823;0.060823502;0.733873053;0.158165045;0.034179991;0.04826434;0.781363657;0.133197988;0.046246199;0.06283041;0.753884789;0.13331933;0.048287588;0.069335593;0.713474512;0.164656661;0.059937037;0.084836803;1.054300508;0.195817369
S30;Reposo_EEG;0.109020954;0.167148824;0.389120703;0.333325484;0.110316437;0.161542263;0.398076657;0.328710069;0.103283028;0.16576043;0.391556433;0.338243318;0.150965101;0.193583139;0.363936744;0.289689343;0.128146459;0.177441737;0.426818208;0.26579849;0.075411093;0.163956507;0.455696995;0.303865522;0.094414028;0.17496893;0.45063017;0.278511727;0.15431142;0.240880366;0.575167182;0.42762879
