;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4
S2;square_motion_both;0.2471674106418593;0.3576967815393583;0.21350944846271042;0.17887457863110348;0.24743373753634448;0.35629835692209066;0.21398139044458658;0.17963849249141395;0.23806819082793362;0.35968502167862576;0.2246605448424742;0.17496705386306544;0.26745708598846923;0.36173524812913493;0.19687419206585186;0.17178529743061619;0.24496466992538163;0.37080473836503136;0.20806053650914105;0.17354327680464657;0.23704062204597545;0.3665767358659639;0.212070443024175;0.18120577760786885;0.23498380222667734;0.36188539328886854;0.2205347862234873;0.1796282108979947
S3;square_motion_both;0.35462888841862067;0.2840957323001831;0.14015002873040985;0.21925358825427269;0.35455405723925804;0.268227774603631;0.1389032825303867;0.2365439734400982;0.34685781045616726;0.2732065482400196;0.14043520555705633;0.2372909412131326;0.37738848214767073;0.26908789819015244;0.14385341482458175;0.20774119917161188;0.36222450522083155;0.27959605273239296;0.13628055960650806;0.21997368991873245;0.33566081749030857;0.290312022068646;0.1468292392169746;0.22498260402367473;0.3583281881768492;0.2682478549719181;0.15481121659519614;0.21666373698463168
S5;square_motion_both;0.11207004303978232;0.19542606199423937;0.41634572541953774;0.27335301631466846;0.10268367137916995;0.16744311421251715;0.4582033764660162;0.2692542606398948;0.09593793533688211;0.15393628138272275;0.4969390308777413;0.2504831298211345;0.10691866113720314;0.2176449298907901;0.3936579735529558;0.27916703329988946;0.11413368565022225;0.2046124522333342;0.389012818302565;0.2892557348234601;0.09497788968215302;0.14374186782596166;0.5048002119759573;0.25438778390357547;0.1145881547778061;0.20930961556233751;0.3908792070121481;0.28272658873812745
S7;square_motion_both;0.25970507937436943;0.42076974208559426;0.17794857982626588;0.13857153019711152;0.23848496636685287;0.4192518786008623;0.18158432328038143;0.1578846008841574;0.22871491965462387;0.4202434902315104;0.1796578308025616;0.16850480484059374;0.24693759012593713;0.43016361328090025;0.17684371115566852;0.14251485792075258;0.2236227347876091;0.45576573324879355;0.1840137802180277;0.13326295686496;0.24138243449801805;0.4264663599603817;0.17942500659429;0.14976911050465594;0.23781085400166777;0.4426211580338922;0.18210129895382698;0.13422496141197304
S10;square_motion_both;0.30704457986927153;0.3084170579486877;0.20242646858336574;0.17930435223620658;0.2990199002662991;0.3021322889817523;0.20923414071326957;0.18640801270151874;0.29175548071853535;0.2947783613149164;0.22170343350666896;0.18807680918861477;0.32443132148078435;0.29566681768493475;0.19929388862607791;0.17771729036788939;0.33798964778379514;0.27306826932950556;0.20241740395378574;0.18388007423535652;0.3189698300913191;0.3077457952143365;0.1961958413995482;0.1741542217593148;0.32212763456087123;0.3005069153563403;0.20365518568053675;0.17118343153040289
S11;square_motion_both;0.23906588508421428;0.2807966692707712;0.2504437491753364;0.22438071870827658;0.23655668637903293;0.2805399200625858;0.22613934152438214;0.25102122991085424;0.25219946045227354;0.29545237138360886;0.2287766715188269;0.21924411893150839;0.2184190188927638;0.2548019214040269;0.25659146413647904;0.26141841697819285;0.24457952851606968;0.23946516986108618;0.2768738163364412;0.233348061285539;0.2296380573655396;0.2939001058306303;0.25463406420307594;0.21735485650193642;0.21640635618162982;0.2730669365583607;0.2889970936451908;0.21694217921402018
S13;square_motion_both;0.21472898128519344;0.27649204297856866;0.18415675589228025;0.3174219426254254;0.20898941956022504;0.2844332254061502;0.1672669583476753;0.3322404987748042;0.20153797107639476;0.28140667490505344;0.156530843989327;0.3535597032728696;0.19911416840425017;0.2571737056220634;0.2019893100822221;0.3347011945459958;0.2177293163106998;0.27527019972084;0.16669142903547082;0.3338833265641844;0.2199414836970024;0.3062174796589648;0.1433026970052026;0.3223174456698205;0.20831903325164247;0.2867354142901243;0.170755493518926;0.32656199441052897
S14;square_motion_both;0.22187178303867977;0.30691190111820915;0.25369176366168383;0.2122080940990509;0.20560496542334109;0.29071474134014;0.26205340846291764;0.23537445100888982;0.20714151016695195;0.3082720737688727;0.25020550543412057;0.22818457788416083;0.19896205482332222;0.31946073003954756;0.2594647676021487;0.21610239152439023;0.2026808081056025;0.29245945680355184;0.27206651466647364;0.2274988785470952;0.2206885812325726;0.3266109370933717;0.2691801518737137;0.18006418428273988;0.20659278751746654;0.3144072801364118;0.29830307814255397;0.17719395593894235
S15;square_motion_both;0.14743679889428485;0.26370321929005863;0.366001553071239;0.22085298735382425;0.16223082144116702;0.25361962866944104;0.34736289670834763;0.23423549910648786;0.15242444958256327;0.2617731963155992;0.35405817157948777;0.22885217686503173;0.1391914120420708;0.26756396594040693;0.3729806859829389;0.2183734782302389;0.13642917871444732;0.26010020998311023;0.3897068466090002;0.211795706731214;0.13662297741320123;0.24122426641928332;0.415441041212079;0.2046136422270263;0.12689087066049204;0.2589208234501161;0.4172141937508296;0.19510803472561655
S16;square_motion_both;0.312967193550283;0.3094063322380798;0.16935853443243104;0.20379177765629827;0.3220226960861205;0.2921385189214195;0.16840253580412282;0.2127687464127975;0.36743977904456393;0.29452375344922244;0.15633927504902745;0.17890368606675675;0.317238387920785;0.3062137507617661;0.16786586270145157;0.20458007077240342;0.3329811722767751;0.278002705959408;0.15202270806998153;0.23144678364226567;0.3396786866946288;0.29243697471798996;0.17982893716346326;0.1853875459653168;0.33474647176776623;0.31612821562030863;0.1687360661871039;0.17777980237373514
S18;square_motion_both;0.2138462780156063;0.31021557625028345;0.24359339275582567;0.22674846576423896;0.2090849036798314;0.30023758517879595;0.25331477548499587;0.2319737576967264;0.21198701432910702;0.304190594556187;0.2444630505034593;0.23419221368753249;0.21605248792302534;0.3061811794436552;0.24346312064943218;0.22884347707028257;0.19780631582204447;0.308281048038949;0.25981459351011;0.22854154427057455;0.19024938960732726;0.2890411484077403;0.2860083641524597;0.23003213484243976;0.18756173142361848;0.2894791062130865;0.2708263919432787;0.24674481131461337
